"",BBDA1.M.DE.Y.EX.S.A.R5.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.R5.A.V.ABA.A_FLAGS
"","Germany / Exports / At current prices, flows / Aggregate / all goods / OPEC (Organization of Petroleum Exporting Countries) / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:25,
1990-07,0.77,
1990-08,0.71,
1990-09,0.58,
1990-10,0.62,
1990-11,0.72,
1990-12,0.64,
1991-01,0.65,
1991-02,0.63,
1991-03,0.83,
1991-04,0.66,
1991-05,0.71,
1991-06,0.73,
1991-07,0.82,
1991-08,0.91,
1991-09,1.02,
1991-10,0.92,
1991-11,0.88,
1991-12,0.84,
1992-01,0.90,
1992-02,0.89,
1992-03,0.87,
1992-04,1.11,
1992-05,0.85,
1992-06,0.82,
1992-07,0.84,
1992-08,0.87,
1992-09,0.75,
1992-10,0.76,
1992-11,0.87,
1992-12,0.75,
1993-01,0.75,
1993-02,0.79,
1993-03,0.64,
1993-04,0.60,
1993-05,0.62,
1993-06,0.64,
1993-07,0.57,
1993-08,0.66,
1993-09,0.63,
1993-10,0.62,
1993-11,0.65,
1993-12,0.66,
1994-01,0.68,
1994-02,0.69,
1994-03,0.66,
1994-04,0.67,
1994-05,0.70,
1994-06,0.57,
1994-07,0.56,
1994-08,0.57,
1994-09,0.52,
1994-10,0.47,
1994-11,0.56,
1994-12,0.65,
1995-01,0.67,
1995-02,0.61,
1995-03,0.57,
1995-04,0.53,
1995-05,0.55,
1995-06,0.57,
1995-07,0.53,
1995-08,0.54,
1995-09,0.52,
1995-10,0.50,
1995-11,0.58,
1995-12,0.57,
1996-01,0.52,
1996-02,0.53,
1996-03,0.52,
1996-04,0.53,
1996-05,0.54,
1996-06,0.58,
1996-07,0.61,
1996-08,0.57,
1996-09,0.53,
1996-10,0.57,
1996-11,0.59,
1996-12,0.54,
1997-01,0.54,
1997-02,0.61,
1997-03,0.70,
1997-04,0.61,
1997-05,0.65,
1997-06,0.70,
1997-07,0.67,
1997-08,0.64,
1997-09,0.74,
1997-10,0.62,
1997-11,0.61,
1997-12,0.69,
1998-01,0.66,
1998-02,0.69,
1998-03,0.73,
1998-04,0.72,
1998-05,0.76,
1998-06,0.65,
1998-07,0.68,
1998-08,0.69,
1998-09,0.69,
1998-10,0.68,
1998-11,0.69,
1998-12,0.64,
1999-01,0.64,
1999-02,0.70,
1999-03,0.71,
1999-04,0.69,
1999-05,0.66,
1999-06,0.62,
1999-07,0.70,
1999-08,0.69,
1999-09,0.68,
1999-10,0.65,
1999-11,0.70,
1999-12,0.71,
2000-01,0.65,
2000-02,0.70,
2000-03,0.77,
2000-04,0.72,
2000-05,0.74,
2000-06,0.81,
2000-07,0.80,
2000-08,0.82,
2000-09,0.87,
2000-10,0.94,
2000-11,0.86,
2000-12,0.93,
2001-01,0.91,
2001-02,0.94,
2001-03,0.99,
2001-04,1.03,
2001-05,1.00,
2001-06,1.04,
2001-07,1.02,
2001-08,1.12,
2001-09,1.06,
2001-10,1.10,
2001-11,1.16,
2001-12,1.15,
2002-01,1.07,
2002-02,1.19,
2002-03,1.13,
2002-04,1.25,
2002-05,1.07,
2002-06,1.17,
2002-07,1.00,
2002-08,1.08,
2002-09,1.14,
2002-10,1.14,
2002-11,1.19,
2002-12,1.11,
2003-01,1.12,
2003-02,1.13,
2003-03,1.00,
2003-04,0.99,
2003-05,1.06,
2003-06,1.06,
2003-07,1.08,
2003-08,1.28,
2003-09,1.11,
2003-10,1.06,
2003-11,1.06,
2003-12,1.13,
2004-01,1.26,
2004-02,1.13,
2004-03,1.24,
2004-04,1.19,
2004-05,1.43,
2004-06,1.25,
2004-07,1.32,
2004-08,1.28,
2004-09,1.18,
2004-10,1.25,
2004-11,1.31,
2004-12,1.31,
2005-01,1.65,
2005-02,1.37,
2005-03,1.42,
2005-04,1.42,
2005-05,1.58,
2005-06,1.51,
2005-07,1.58,
2005-08,1.72,
2005-09,1.56,
2005-10,1.51,
2005-11,1.36,
2005-12,1.49,
2006-01,1.55,
2006-02,1.66,
2006-03,1.62,
2006-04,1.66,
2006-05,1.63,
2006-06,1.46,
2006-07,1.60,
2006-08,1.62,
2006-09,1.85,
2006-10,1.82,
2006-11,1.94,
2006-12,1.73,
2007-01,1.79,
2007-02,1.85,
2007-03,1.77,
2007-04,1.90,
2007-05,1.68,
2007-06,1.65,
2007-07,1.77,
2007-08,1.88,
2007-09,1.86,
2007-10,1.86,
2007-11,1.76,
2007-12,1.90,
2008-01,2.02,
2008-02,2.04,
2008-03,1.85,
2008-04,2.11,
2008-05,1.88,
2008-06,2.10,
2008-07,2.05,
2008-08,1.98,
2008-09,2.17,
2008-10,2.53,
2008-11,2.47,
2008-12,2.48,
2009-01,2.05,
2009-02,1.94,
2009-03,1.97,
2009-04,1.93,
2009-05,1.86,
2009-06,1.88,
2009-07,1.89,
2009-08,1.76,
2009-09,1.60,
2009-10,1.63,
2009-11,1.81,
2009-12,2.19,
2010-01,1.81,
2010-02,1.89,
2010-03,2.00,
2010-04,1.92,
2010-05,2.13,
2010-06,2.24,
2010-07,2.30,
2010-08,2.25,
2010-09,2.68,
2010-10,1.90,
2010-11,2.39,
2010-12,1.91,
2011-01,2.04,
2011-02,1.95,
2011-03,1.96,
2011-04,1.92,
2011-05,1.88,
2011-06,1.97,
2011-07,2.02,
2011-08,1.95,
2011-09,1.97,
2011-10,2.35,
2011-11,2.28,
2011-12,2.58,
2012-01,2.25,
2012-02,2.36,
2012-03,2.37,
2012-04,2.44,
2012-05,2.30,
2012-06,2.44,
2012-07,2.43,
2012-08,2.78,
2012-09,2.70,
2012-10,2.49,
2012-11,2.55,
2012-12,2.69,
2013-01,2.36,
2013-02,2.46,
2013-03,2.49,
2013-04,2.46,
2013-05,2.79,
2013-06,2.60,
2013-07,2.46,
2013-08,2.56,
2013-09,2.48,
2013-10,2.56,
2013-11,2.78,
2013-12,2.75,
2014-01,2.53,
2014-02,2.73,
2014-03,2.82,
2014-04,2.82,
