"",BBK01.OEBB08P,BBK01.OEBB08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:03,
2002-01,1.970,
2002-04,1.991,
2002-07,2.024,
2002-10,2.072,
2003-01,2.113,
2003-04,2.126,
2003-07,2.149,
2003-10,2.042,
2004-01,2.046,
2004-04,2.030,
2004-07,2.033,
2004-10,1.996,
2005-01,2.194,
2005-04,2.208,
2005-07,2.237,
2005-10,2.240,
2006-01,2.227,
2006-04,2.247,
2006-07,2.259,
2006-10,2.315,
2007-01,2.369,
2007-04,2.345,
2007-07,2.394,
2007-10,2.482,
2008-01,2.505,
2008-04,3.315,
2008-07,3.308,
2008-10,3.283,
2009-01,3.280,
2009-04,3.625,
2009-07,3.585,
2009-10,3.564,
2010-01,3.526,
2010-04,3.516,
2010-07,3.368,
2010-10,3.427,
2011-01,3.445,
2011-04,3.443,
2011-07,3.459,
2011-10,3.455,
2012-01,3.448,
2012-04,3.425,
2012-07,3.427,
2012-10,3.408,
2013-01,3.381,
2013-04,3.333,
2013-07,3.316,
2013-10,3.380,
2014-01,3.358,
2014-04,3.326,
2014-07,3.331,
