"",BBK01.OEAD15L,BBK01.OEAD15L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:56,
2002-01,1.369,
2002-04,1.307,
2002-07,0.899,
2002-10,0.829,
2003-01,0.918,
2003-04,0.953,
2003-07,0.882,
2003-10,0.800,
2004-01,0.694,
2004-04,0.765,
2004-07,0.618,
2004-10,0.645,
2005-01,0.680,
2005-04,0.731,
2005-07,0.736,
2005-10,0.631,
2006-01,0.796,
2006-04,1.000,
2006-07,1.060,
2006-10,0.873,
2007-01,0.872,
2007-04,0.966,
2007-07,0.821,
2007-10,0.768,
2008-01,1.041,
2008-04,1.101,
2008-07,0.819,
2008-10,1.153,
2009-01,1.295,
2009-04,1.109,
2009-07,0.786,
2009-10,0.643,
2010-01,0.554,
2010-04,0.617,
2010-07,0.572,
2010-10,0.722,
2011-01,0.818,
2011-04,0.857,
2011-07,0.765,
2011-10,0.759,
2012-01,0.664,
2012-04,0.578,
2012-07,0.587,
2012-10,0.922,
2013-01,0.671,
2013-04,0.748,
2013-07,0.709,
2013-10,0.644,
2014-01,0.599,
2014-04,0.662,
2014-07,0.568,
