"",BBK01.OEYK05O,BBK01.OEYK05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:15,
2002-01,0.025,
2002-04,0.026,
2002-07,0.027,
2002-10,0.032,
2003-01,0.037,
2003-04,0.038,
2003-07,0.040,
2003-10,0.048,
2004-01,0.054,
2004-04,0.057,
2004-07,0.063,
2004-10,0.092,
2005-01,0.094,
2005-04,0.096,
2005-07,0.094,
2005-10,0.089,
2006-01,0.088,
2006-04,0.089,
2006-07,0.089,
2006-10,0.080,
2007-01,0.076,
2007-04,0.074,
2007-07,0.073,
2007-10,0.065,
2008-01,0.067,
2008-04,0.068,
2008-07,0.066,
2008-10,0.063,
2009-01,0.063,
2009-04,0.062,
2009-07,0.065,
2009-10,0.074,
2010-01,0.094,
2010-04,0.100,
2010-07,0.101,
2010-10,0.102,
2011-01,0.103,
2011-04,0.101,
2011-07,0.103,
2011-10,0.105,
2012-01,0.103,
2012-04,0.105,
2012-07,0.106,
2012-10,0.106,
2013-01,0.102,
2013-04,0.099,
2013-07,0.096,
2013-10,0.093,
2014-01,0.085,
2014-04,0.080,
2014-07,0.078,
