"",BBK01.OEAF17R,BBK01.OEAF17R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:41,
2002-01,0.245,
2002-04,0.243,
2002-07,0.268,
2002-10,0.261,
2003-01,0.255,
2003-04,0.257,
2003-07,0.251,
2003-10,0.231,
2004-01,0.229,
2004-04,0.228,
2004-07,0.231,
2004-10,0.206,
2005-01,0.206,
2005-04,0.202,
2005-07,0.201,
2005-10,0.188,
2006-01,0.188,
2006-04,0.194,
2006-07,0.188,
2006-10,0.183,
2007-01,0.184,
2007-04,0.190,
2007-07,0.188,
2007-10,0.183,
2008-01,0.188,
2008-04,0.186,
2008-07,0.188,
2008-10,0.179,
2009-01,0.164,
2009-04,0.164,
2009-07,0.164,
2009-10,0.156,
2010-01,0.153,
2010-04,0.148,
2010-07,0.144,
2010-10,0.137,
2011-01,0.140,
2011-04,0.138,
2011-07,0.139,
2011-10,0.132,
2012-01,0.130,
2012-04,0.127,
2012-07,0.113,
2012-10,0.117,
2013-01,0.114,
2013-04,0.112,
2013-07,0.112,
2013-10,0.106,
2014-01,0.105,
2014-04,0.100,
2014-07,0.100,
