"",BBK01.OEBB04U,BBK01.OEBB04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:00,
2002-01,7.461,
2002-04,7.523,
2002-07,7.493,
2002-10,7.662,
2003-01,7.601,
2003-04,7.622,
2003-07,7.661,
2003-10,7.732,
2004-01,7.709,
2004-04,7.677,
2004-07,7.683,
2004-10,7.579,
2005-01,8.156,
2005-04,8.023,
2005-07,8.079,
2005-10,8.023,
2006-01,8.027,
2006-04,8.063,
2006-07,8.145,
2006-10,8.219,
2007-01,8.187,
2007-04,8.195,
2007-07,8.204,
2007-10,8.536,
2008-01,8.222,
2008-04,8.146,
2008-07,8.177,
2008-10,8.154,
2009-01,8.094,
2009-04,8.935,
2009-07,9.015,
2009-10,9.025,
2010-01,8.988,
2010-04,8.952,
2010-07,9.066,
2010-10,9.129,
2011-01,9.189,
2011-04,9.229,
2011-07,9.244,
2011-10,9.188,
2012-01,9.171,
2012-04,9.218,
2012-07,9.204,
2012-10,9.216,
2013-01,9.467,
2013-04,9.474,
2013-07,9.651,
2013-10,9.800,
2014-01,9.755,
2014-04,9.780,
2014-07,9.669,
