"",BBK01.OEAH31V,BBK01.OEAH31V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:57,
2002-01,5.970,
2002-04,6.136,
2002-07,6.104,
2002-10,6.241,
2003-01,6.323,
2003-04,6.255,
2003-07,6.305,
2003-10,6.552,
2004-01,6.239,
2004-04,6.582,
2004-07,6.863,
2004-10,7.149,
2005-01,6.738,
2005-04,6.534,
2005-07,7.403,
2005-10,7.633,
2006-01,7.495,
2006-04,7.639,
2006-07,7.857,
2006-10,8.053,
2007-01,8.473,
2007-04,8.381,
2007-07,8.519,
2007-10,8.519,
2008-01,8.858,
2008-04,4.213,
2008-07,4.632,
2008-10,4.601,
2009-01,3.986,
2009-04,3.511,
2009-07,3.101,
2009-10,3.201,
2010-01,3.362,
2010-04,3.327,
2010-07,3.264,
2010-10,3.299,
2011-01,3.468,
2011-04,3.416,
2011-07,3.853,
2011-10,4.241,
2012-01,4.161,
2012-04,4.278,
2012-07,4.105,
2012-10,3.925,
2013-01,3.872,
2013-04,3.807,
2013-07,3.697,
2013-10,3.742,
2014-01,3.939,
2014-04,3.922,
2014-07,3.756,
