"",BBK01.PC3424,BBK01.PC3424_FLAGS
"",Housing loans to domestic enterprises and self-employed persons / Short-term / Building and loan associations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:22:48,
1999-01,0.217,
1999-04,0.192,
1999-07,0.222,
1999-10,0.212,
2000-01,0.168,
2000-04,0.170,
2000-07,0.162,
2000-10,0.171,
2001-01,0.164,
2001-04,0.164,
2001-07,0.160,
2001-10,0.185,
2002-01,0.163,
2002-04,0.184,
2002-07,0.178,
2002-10,0.169,
2003-01,0.161,
2003-04,0.140,
2003-07,0.146,
2003-10,0.223,
2004-01,0.170,
2004-04,0.186,
2004-07,0.189,
2004-10,0.211,
2005-01,0.195,
2005-04,0.184,
2005-07,0.173,
2005-10,0.176,
2006-01,0.176,
2006-04,0.164,
2006-07,0.163,
2006-10,0.275,
2007-01,0.291,
2007-04,0.269,
2007-07,0.288,
2007-10,0.146,
2008-01,0.150,
2008-04,0.133,
2008-07,0.137,
2008-10,0.137,
2009-01,0.150,
2009-04,0.151,
2009-07,0.152,
2009-10,0.152,
2010-01,0.154,
2010-04,0.175,
2010-07,0.160,
2010-10,0.145,
2011-01,0.161,
2011-04,0.166,
2011-07,0.172,
2011-10,0.178,
2012-01,0.211,
2012-04,0.204,
2012-07,0.183,
2012-10,0.173,
2013-01,0.179,
2013-04,0.187,
2013-07,0.188,
2013-10,0.183,
2014-01,0.192,
2014-04,0.195,
2014-07,0.227,
2014-10,0.185,
