"",BBK01.OEBM05L,BBK01.OEBM05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:45,
2002-01,0.728,
2002-04,0.682,
2002-07,0.704,
2002-10,0.605,
2003-01,0.583,
2003-04,0.553,
2003-07,0.537,
2003-10,0.605,
2004-01,0.612,
2004-04,0.483,
2004-07,0.667,
2004-10,0.759,
2005-01,0.815,
2005-04,0.916,
2005-07,0.987,
2005-10,1.226,
2006-01,1.396,
2006-04,1.526,
2006-07,1.594,
2006-10,1.648,
2007-01,1.808,
2007-04,1.892,
2007-07,2.145,
2007-10,2.467,
2008-01,3.085,
2008-04,3.181,
2008-07,3.262,
2008-10,3.320,
2009-01,3.553,
2009-04,3.539,
2009-07,3.608,
2009-10,3.885,
2010-01,3.982,
2010-04,3.850,
2010-07,4.178,
2010-10,4.354,
2011-01,4.402,
2011-04,4.466,
2011-07,4.342,
2011-10,4.289,
2012-01,4.353,
2012-04,4.623,
2012-07,4.584,
2012-10,4.605,
2013-01,4.559,
2013-04,4.540,
2013-07,4.767,
2013-10,4.699,
2014-01,4.694,
2014-04,4.630,
2014-07,4.723,
