"",BBK01.OEAD15T,BBK01.OEAD15T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:13,
2002-01,0.093,
2002-04,0.094,
2002-07,0.091,
2002-10,0.105,
2003-01,0.096,
2003-04,0.099,
2003-07,0.104,
2003-10,0.091,
2004-01,0.103,
2004-04,0.102,
2004-07,0.100,
2004-10,0.079,
2005-01,0.090,
2005-04,0.079,
2005-07,0.071,
2005-10,0.064,
2006-01,0.089,
2006-04,0.069,
2006-07,0.081,
2006-10,0.066,
2007-01,0.060,
2007-04,0.067,
2007-07,0.060,
2007-10,0.048,
2008-01,0.069,
2008-04,0.078,
2008-07,0.065,
2008-10,0.062,
2009-01,0.069,
2009-04,0.073,
2009-07,0.063,
2009-10,0.057,
2010-01,0.072,
2010-04,0.072,
2010-07,0.066,
2010-10,0.061,
2011-01,0.067,
2011-04,0.069,
2011-07,0.072,
2011-10,0.064,
2012-01,0.065,
2012-04,0.066,
2012-07,0.060,
2012-10,0.064,
2013-01,0.070,
2013-04,0.066,
2013-07,0.074,
2013-10,0.059,
2014-01,0.061,
2014-04,0.060,
2014-07,0.057,
