"",BBDE1.M.DE.Y.GUA1.N2G470000.A.C.I10.A,BBDE1.M.DE.Y.GUA1.N2G470000.A.C.I10.A_FLAGS
"","Turnover / At constant prices / Germany / 47 Retail trade, except of motor vehicles and motorcycles / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 14:19:03,
1994-01,104.9,
1994-02,103.6,
1994-03,103.6,
1994-04,103.0,
1994-05,101.9,
1994-06,102.1,
1994-07,102.6,
1994-08,102.7,
1994-09,104.2,
1994-10,103.3,
1994-11,102.9,
1994-12,104.9,
1995-01,103.0,
1995-02,105.4,
1995-03,105.7,
1995-04,104.2,
1995-05,105.2,
1995-06,106.1,
1995-07,105.1,
1995-08,104.4,
1995-09,104.3,
1995-10,102.9,
1995-11,104.8,
1995-12,104.5,
1996-01,104.1,
1996-02,104.0,
1996-03,103.3,
1996-04,104.5,
1996-05,104.0,
1996-06,103.4,
1996-07,103.7,
1996-08,104.0,
1996-09,104.8,
1996-10,102.1,
1996-11,103.6,
1996-12,102.5,
1997-01,103.8,
1997-02,102.0,
1997-03,101.6,
1997-04,103.3,
1997-05,102.4,
1997-06,103.7,
1997-07,101.9,
1997-08,99.6,
1997-09,100.9,
1997-10,102.6,
1997-11,101.3,
1997-12,100.6,
1998-01,101.5,
1998-02,102.4,
1998-03,104.6,
1998-04,101.3,
1998-05,102.2,
1998-06,100.7,
1998-07,103.4,
1998-08,101.8,
1998-09,101.5,
1998-10,101.8,
1998-11,105.1,
1998-12,102.8,
1999-01,102.5,
1999-02,103.4,
1999-03,103.9,
1999-04,100.7,
1999-05,101.7,
1999-06,101.4,
1999-07,101.5,
1999-08,102.5,
1999-09,99.1,
1999-10,102.1,
1999-11,102.3,
1999-12,103.0,
2000-01,102.5,
2000-02,103.9,
2000-03,102.8,
2000-04,103.8,
2000-05,103.9,
2000-06,103.4,
2000-07,103.1,
2000-08,102.6,
2000-09,102.1,
2000-10,102.8,
2000-11,103.0,
2000-12,103.5,
2001-01,105.0,
2001-02,103.2,
2001-03,104.3,
2001-04,103.7,
2001-05,103.9,
2001-06,103.5,
2001-07,103.4,
2001-08,102.7,
2001-09,103.0,
2001-10,100.5,
2001-11,104.6,
2001-12,102.3,
2002-01,100.0,
2002-02,99.7,
2002-03,100.4,
2002-04,101.4,
2002-05,101.8,
2002-06,99.7,
2002-07,100.8,
2002-08,100.5,
2002-09,102.2,
2002-10,101.0,
2002-11,100.6,
2002-12,100.4,
2003-01,99.1,
2003-02,99.3,
2003-03,99.4,
2003-04,99.4,
2003-05,99.8,
2003-06,100.4,
2003-07,99.4,
2003-08,99.4,
2003-09,99.8,
2003-10,100.9,
2003-11,100.0,
2003-12,99.4,
2004-01,99.8,
2004-02,101.8,
2004-03,101.2,
2004-04,102.4,
2004-05,100.3,
2004-06,101.0,
2004-07,101.5,
2004-08,100.9,
2004-09,101.2,
2004-10,101.1,
2004-11,101.8,
2004-12,102.1,
2005-01,103.6,
2005-02,102.5,
2005-03,102.3,
2005-04,102.3,
2005-05,101.9,
2005-06,102.8,
2005-07,102.9,
2005-08,102.8,
2005-09,102.7,
2005-10,102.7,
2005-11,102.6,
2005-12,102.8,
2006-01,102.1,
2006-02,102.9,
2006-03,102.7,
2006-04,102.9,
2006-05,103.3,
2006-06,104.4,
2006-07,102.3,
2006-08,103.4,
2006-09,101.5,
2006-10,102.4,
2006-11,102.7,
2006-12,105.4,
2007-01,100.3,
2007-02,102.9,
2007-03,103.1,
2007-04,105.4,
2007-05,100.5,
2007-06,101.9,
2007-07,101.5,
2007-08,102.4,
2007-09,101.9,
2007-10,101.5,
2007-11,101.2,
2007-12,98.9,
2008-01,101.8,
2008-02,103.0,
2008-03,100.6,
2008-04,101.0,
2008-05,101.3,
2008-06,100.5,
2008-07,100.3,
2008-08,101.8,
2008-09,102.5,
2008-10,101.5,
2008-11,102.5,
2008-12,102.3,
2009-01,99.0,
2009-02,98.6,
2009-03,98.8,
2009-04,100.7,
2009-05,98.2,
2009-06,96.5,
2009-07,98.9,
2009-08,97.7,
2009-09,98.2,
2009-10,99.2,
2009-11,99.4,
2009-12,100.0,
2010-01,96.9,
2010-02,99.6,
2010-03,99.9,
2010-04,99.7,
2010-05,100.2,
2010-06,100.4,
2010-07,102.1,
2010-08,100.9,
2010-09,100.2,
2010-10,100.5,
2010-11,99.9,
2010-12,100.3,
2011-01,100.2,
2011-02,102.4,
2011-03,99.9,
2011-04,101.3,
2011-05,98.6,
2011-06,101.1,
2011-07,102.4,
2011-08,101.1,
2011-09,101.5,
2011-10,102.0,
2011-11,100.7,
2011-12,101.7,
2012-01,99.1,
2012-02,101.0,
2012-03,102.0,
2012-04,101.4,
2012-05,101.0,
2012-06,102.0,
2012-07,101.3,
2012-08,101.1,
2012-09,101.3,
2012-10,100.8,
2012-11,100.9,
2012-12,99.3,
2013-01,101.3,
2013-02,101.2,
2013-03,101.1,
2013-04,101.3,
2013-05,102.1,
2013-06,101.0,
2013-07,101.6,
2013-08,101.3,
2013-09,101.7,
2013-10,100.8,
2013-11,102.4,
2013-12,99.8,
2014-01,102.3,Provisional value
2014-02,103.3,Provisional value
2014-03,102.9,Provisional value
2014-04,102.3,Provisional value
2014-05,102.1,Provisional value
2014-06,103.4,Provisional value
2014-07,102.7,Provisional value
2014-08,103.4,Provisional value
2014-09,101.6,Provisional value
2014-10,103.6,Provisional value
2014-11,104.1,Provisional value
2014-12,104.7,Provisional value
