"",BBK01.OEAH13R,BBK01.OEAH13R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:37,
2002-01,1.566,
2002-04,1.527,
2002-07,1.523,
2002-10,1.487,
2003-01,1.431,
2003-04,1.371,
2003-07,1.318,
2003-10,1.347,
2004-01,1.279,
2004-04,1.231,
2004-07,1.215,
2004-10,1.207,
2005-01,1.189,
2005-04,1.145,
2005-07,1.065,
2005-10,1.057,
2006-01,1.095,
2006-04,1.140,
2006-07,1.187,
2006-10,1.275,
2007-01,1.452,
2007-04,1.470,
2007-07,1.548,
2007-10,1.607,
2008-01,1.641,
2008-04,1.679,
2008-07,1.697,
2008-10,1.881,
2009-01,1.799,
2009-04,1.742,
2009-07,1.643,
2009-10,1.643,
2010-01,1.560,
2010-04,1.478,
2010-07,1.380,
2010-10,1.409,
2011-01,1.361,
2011-04,1.390,
2011-07,1.402,
2011-10,1.402,
2012-01,1.362,
2012-04,1.401,
2012-07,1.348,
2012-10,1.242,
2013-01,1.166,
2013-04,1.086,
2013-07,0.963,
2013-10,0.893,
2014-01,0.839,
2014-04,0.803,
2014-07,0.811,
