"",BBNZ1.Q.DE.Y.H.0155.A,BBNZ1.Q.DE.Y.H.0155.A_FLAGS
"",Germany / National accounts / Use of GDP / Premises / Chain-linked index / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:52,
1991-01,106.36,
1991-04,106.54,
1991-07,108.61,
1991-10,112.37,
1992-01,119.23,
1992-04,118.08,
1992-07,116.94,
1992-10,120.94,
1993-01,119.87,
1993-04,120.45,
1993-07,122.35,
1993-10,121.09,
1994-01,127.63,
1994-04,129.56,
1994-07,129.21,
1994-10,132.28,
1995-01,127.50,
1995-04,129.93,
1995-07,127.70,
1995-10,125.84,
1996-01,114.77,
1996-04,128.14,
1996-07,127.71,
1996-10,126.52,
1997-01,119.10,
1997-04,123.88,
1997-07,123.50,
1997-10,122.87,
1998-01,124.37,
1998-04,120.33,
1998-07,120.96,
1998-10,117.72,
1999-01,120.28,
1999-04,121.88,
1999-07,123.70,
1999-10,122.00,
2000-01,122.37,
2000-04,119.50,
2000-07,117.85,
2000-10,116.01,
2001-01,115.98,
2001-04,114.72,
2001-07,113.46,
2001-10,112.83,
2002-01,110.66,
2002-04,106.95,
2002-07,106.51,
2002-10,104.85,
2003-01,104.28,
2003-04,104.72,
2003-07,104.84,
2003-10,104.47,
2004-01,102.93,
2004-04,99.75,
2004-07,97.93,
2004-10,97.47,
2005-01,94.09,
2005-04,95.92,
2005-07,96.67,
2005-10,97.67,
2006-01,94.73,
2006-04,100.94,
2006-07,103.38,
2006-10,106.34,
2007-01,104.88,
2007-04,98.86,
2007-07,100.06,
2007-10,101.50,
2008-01,104.59,
2008-04,98.92,
2008-07,98.24,
2008-10,98.26,
2009-01,96.27,
2009-04,96.21,
2009-07,96.82,
2009-10,97.61,
2010-01,94.44,
2010-04,102.51,
2010-07,101.36,
2010-10,98.42,
2011-01,107.21,
2011-04,108.19,
2011-07,106.95,
2011-10,108.59,
2012-01,109.17,
2012-04,109.86,
2012-07,109.72,
2012-10,108.99,
2013-01,105.97,
2013-04,109.12,
2013-07,111.10,
2013-10,111.91,
2014-01,116.95,
2014-04,112.58,
2014-07,110.89,
2014-10,113.24,
