"",BBDA1.M.DE.N.IM.S.A.TR.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.TR.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Turkey / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:37,
1990-07,200352,
1990-08,244195,
1990-09,232134,
1990-10,291303,
1990-11,313798,
1990-12,260799,
1991-01,349946,
1991-02,271787,
1991-03,285802,
1991-04,257990,
1991-05,243360,
1991-06,217697,
1991-07,271220,
1991-08,262611,
1991-09,256694,
1991-10,316976,
1991-11,282194,
1991-12,256987,
1992-01,356896,
1992-02,307273,
1992-03,290232,
1992-04,278537,
1992-05,228875,
1992-06,237613,
1992-07,297383,
1992-08,266334,
1992-09,282645,
1992-10,337526,
1992-11,281747,
1992-12,327919,
1993-01,256484,
1993-02,280938,
1993-03,307068,
1993-04,266223,
1993-05,241415,
1993-06,229131,
1993-07,268223,
1993-08,315769,
1993-09,287982,
1993-10,296473,
1993-11,334466,
1993-12,322322,
1994-01,350521,
1994-02,299554,
1994-03,307202,
1994-04,243935,
1994-05,259041,
1994-06,256927,
1994-07,288297,
1994-08,344880,
1994-09,313483,
1994-10,309636,
1994-11,352929,
1994-12,374222,
1995-01,293688,
1995-02,328591,
1995-03,357728,
1995-04,310809,
1995-05,318182,
1995-06,293435,
1995-07,360140,
1995-08,345680,
1995-09,350878,
1995-10,371439,
1995-11,371425,
1995-12,365083,
1996-01,376077,
1996-02,346144,
1996-03,325432,
1996-04,334728,
1996-05,311348,
1996-06,313360,
1996-07,380825,
1996-08,373621,
1996-09,359935,
1996-10,420775,
1996-11,392614,
1996-12,387235,
1997-01,472068,
1997-02,377236,
1997-03,393863,
1997-04,436108,
1997-05,320776,
1997-06,392402,
1997-07,466972,
1997-08,399225,
1997-09,440870,
1997-10,463777,
1997-11,440336,
1997-12,471053,
1998-01,453235,
1998-02,405226,
1998-03,511138,
1998-04,429554,
1998-05,399924,
1998-06,446234,
