"",BBK01.OELB12R,BBK01.OELB12R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:09,
2002-01,0.204,
2002-04,0.206,
2002-07,0.210,
2002-10,0.213,
2003-01,0.210,
2003-04,0.216,
2003-07,0.218,
2003-10,0.222,
2004-01,0.225,
2004-04,0.225,
2004-07,0.224,
2004-10,0.223,
2005-01,0.221,
2005-04,0.220,
2005-07,0.220,
2005-10,0.220,
2006-01,0.218,
2006-04,0.258,
2006-07,0.263,
2006-10,0.262,
2007-01,0.263,
2007-04,0.281,
2007-07,0.286,
2007-10,0.287,
2008-01,0.286,
2008-04,0.289,
2008-07,0.298,
2008-10,0.314,
2009-01,0.317,
2009-04,0.327,
2009-07,0.331,
2009-10,0.349,
2010-01,0.356,
2010-04,0.364,
2010-07,0.369,
2010-10,0.370,
2011-01,0.385,
2011-04,0.399,
2011-07,0.397,
2011-10,0.388,
2012-01,0.397,
2012-04,0.417,
2012-07,0.438,
2012-10,0.459,
2013-01,0.461,
2013-04,0.474,
2013-07,0.492,
2013-10,0.501,
2014-01,0.508,
2014-04,0.520,
2014-07,0.531,
