"",BBK01.CELE51,BBK01.CELE51_FLAGS
"",short-term loans debtor: OFI                                                           creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:35,
1999-01,0.4,
1999-04,0.4,
1999-07,0.4,
1999-10,0.4,
2000-01,0.7,
2000-04,0.7,
2000-07,0.7,
2000-10,0.7,
2001-01,1.9,
2001-04,1.5,
2001-07,2.0,
2001-10,1.7,
2002-01,0.4,
2002-04,0.4,
2002-07,0.3,
2002-10,0.5,
2003-01,-1.5,
2003-04,-0.1,
2003-07,-1.9,
2003-10,-1.2,
2004-01,0.0,
2004-04,0.1,
2004-07,0.4,
2004-10,-0.4,
2005-01,1.1,
2005-04,0.5,
2005-07,0.3,
2005-10,0.2,
2006-01,1.7,
2006-04,1.1,
2006-07,-0.1,
2006-10,1.0,
2007-01,3.6,
2007-04,3.0,
2007-07,3.3,
2007-10,5.5,
2008-01,-1.6,
2008-04,2.1,
2008-07,5.6,
2008-10,0.4,
2009-01,-3.5,
2009-04,-2.3,
2009-07,-2.2,
2009-10,-2.9,
2010-01,0.0,
2010-04,3.3,
2010-07,-0.3,
2010-10,1.6,
2011-01,-1.4,
2011-04,0.0,
2011-07,11.3,
2011-10,-2.8,
2012-01,1.0,
2012-04,4.9,
2012-07,2.3,
2012-10,3.1,
2013-01,-1.9,
2013-04,0.9,
2013-07,0.6,
2013-10,-1.0,
2014-01,4.3,
2014-04,3.7,
2014-07,1.8,
