"",BBK01.OELK06N,BBK01.OELK06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:45,
2002-01,0.220,
2002-04,0.222,
2002-07,0.221,
2002-10,0.218,
2003-01,0.207,
2003-04,0.212,
2003-07,0.206,
2003-10,0.217,
2004-01,0.226,
2004-04,0.224,
2004-07,0.224,
2004-10,0.224,
2005-01,0.214,
2005-04,0.203,
2005-07,0.207,
2005-10,0.203,
2006-01,0.198,
2006-04,0.187,
2006-07,0.181,
2006-10,0.181,
2007-01,0.185,
2007-04,0.198,
2007-07,0.213,
2007-10,0.224,
2008-01,0.225,
2008-04,0.220,
2008-07,0.227,
2008-10,0.248,
2009-01,0.229,
2009-04,0.216,
2009-07,0.205,
2009-10,0.204,
2010-01,0.210,
2010-04,0.214,
2010-07,0.215,
2010-10,0.217,
2011-01,0.228,
2011-04,0.244,
2011-07,0.248,
2011-10,0.251,
2012-01,0.257,
2012-04,0.250,
2012-07,0.239,
2012-10,0.222,
2013-01,0.207,
2013-04,0.201,
2013-07,0.191,
2013-10,0.186,
2014-01,0.183,
2014-04,0.172,
2014-07,0.166,
