"",BBK01.OEYB05J,BBK01.OEYB05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:48,
2002-01,5.734,
2002-04,5.849,
2002-07,6.775,
2002-10,6.921,
2003-01,6.772,
2003-04,6.560,
2003-07,6.653,
2003-10,6.731,
2004-01,6.575,
2004-04,6.863,
2004-07,6.733,
2004-10,7.374,
2005-01,7.132,
2005-04,7.162,
2005-07,7.172,
2005-10,7.175,
2006-01,7.422,
2006-04,7.334,
2006-07,7.474,
2006-10,6.194,
2007-01,6.151,
2007-04,6.109,
2007-07,6.134,
2007-10,6.283,
2008-01,6.434,
2008-04,6.457,
2008-07,5.918,
2008-10,5.737,
2009-01,5.915,
2009-04,5.618,
2009-07,5.692,
2009-10,5.497,
2010-01,5.467,
2010-04,8.872,
2010-07,8.561,
2010-10,8.766,
2011-01,8.618,
2011-04,8.394,
2011-07,8.303,
2011-10,8.388,
2012-01,7.912,
2012-04,7.760,
2012-07,7.536,
2012-10,7.438,
2013-01,7.468,
2013-04,7.308,
2013-07,7.570,
2013-10,7.255,
2014-01,7.230,
2014-04,7.006,
2014-07,7.214,
