"",BBK01.OEXB13R,BBK01.OEXB13R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:50,
2002-01,0.964,
2002-04,0.961,
2002-07,0.959,
2002-10,0.965,
2003-01,0.956,
2003-04,0.972,
2003-07,0.955,
2003-10,0.953,
2004-01,0.936,
2004-04,0.942,
2004-07,0.946,
2004-10,0.738,
2005-01,0.764,
2005-04,0.758,
2005-07,0.755,
2005-10,0.755,
2006-01,0.771,
2006-04,0.777,
2006-07,0.788,
2006-10,0.814,
2007-01,0.849,
2007-04,0.865,
2007-07,0.880,
2007-10,0.931,
2008-01,0.932,
2008-04,0.922,
2008-07,0.913,
2008-10,0.927,
2009-01,0.917,
2009-04,0.917,
2009-07,0.921,
2009-10,0.946,
2010-01,0.946,
2010-04,0.967,
2010-07,0.985,
2010-10,0.959,
2011-01,0.968,
2011-04,0.981,
2011-07,0.998,
2011-10,1.025,
2012-01,1.049,
2012-04,1.065,
2012-07,1.055,
2012-10,1.065,
2013-01,1.076,
2013-04,1.085,
2013-07,1.067,
2013-10,1.083,
2014-01,1.110,
2014-04,1.128,
2014-07,1.125,
