"",BBSF2.M.1.T.00000.REN01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.REN01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Bonds funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:24,
2009-09,265216,
2009-10,265389,
2009-11,270138,
2009-12,273836,
2010-01,279657,
2010-02,283195,
2010-03,289474,
2010-04,291473,
2010-05,295162,
2010-06,294883,
2010-07,294800,
2010-08,304231,
2010-09,305378,
2010-10,306292,
2010-11,303587,
2010-12,300470,
2011-01,297346,
2011-02,299797,
2011-03,297039,
2011-04,294391,
2011-05,297105,
2011-06,295877,
2011-07,299185,
2011-08,299227,
2011-09,298978,
2011-10,299918,
2011-11,295140,
2011-12,306890,
2012-01,314069,
2012-02,319911,
2012-03,323485,
2012-04,325155,
2012-05,332855,
2012-06,332225,
2012-07,344279,
2012-08,348603,
2012-09,350054,
2012-10,353935,
2012-11,358707,
2012-12,362621,
2013-01,360402,
2013-02,364216,
2013-03,369351,
2013-04,375066,
2013-05,371539,
2013-06,360367,
2013-07,365269,
2013-08,362850,
2013-09,365427,
2013-10,369340,
2013-11,374911,
2013-12,373587,
2014-01,380092,
2014-02,385311,
2014-03,395290,
2014-04,393312,
2014-05,402155,
2014-06,405376,
2014-07,411632,
2014-08,420950,
2014-09,422424,
2014-10,426708,
2014-11,431859,
