"",BBK01.OEAC46L,BBK01.OEAC46L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:28,
2002-01,107.044,
2002-04,106.291,
2002-07,108.161,
2002-10,107.716,
2003-01,111.953,
2003-04,112.959,
2003-07,114.251,
2003-10,113.668,
2004-01,114.175,
2004-04,114.808,
2004-07,117.648,
2004-10,118.750,
2005-01,117.481,
2005-04,117.280,
2005-07,116.839,
2005-10,116.742,
2006-01,116.265,
2006-04,114.912,
2006-07,114.065,
2006-10,110.518,
2007-01,111.133,
2007-04,110.020,
2007-07,113.999,
2007-10,117.725,
2008-01,117.664,
2008-04,114.676,
2008-07,117.680,
2008-10,118.444,
2009-01,115.841,
2009-04,116.912,
2009-07,110.837,
2009-10,109.268,
2010-01,109.370,
2010-04,108.965,
2010-07,109.926,
2010-10,109.100,
2011-01,107.480,
2011-04,106.267,
2011-07,105.026,
2011-10,102.319,
2012-01,101.429,
2012-04,101.616,
2012-07,99.746,
2012-10,94.380,
2013-01,93.549,
2013-04,92.709,
2013-07,91.820,
2013-10,91.448,
2014-01,89.744,
2014-04,88.365,
2014-07,89.258,
