"",BBK01.OEYL05K,BBK01.OEYL05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:21,
2002-01,1.302,
2002-04,1.304,
2002-07,1.305,
2002-10,1.348,
2003-01,1.356,
2003-04,1.364,
2003-07,1.368,
2003-10,1.407,
2004-01,1.405,
2004-04,1.414,
2004-07,1.419,
2004-10,1.466,
2005-01,1.477,
2005-04,1.511,
2005-07,1.520,
2005-10,1.532,
2006-01,1.535,
2006-04,1.492,
2006-07,1.492,
2006-10,1.525,
2007-01,1.521,
2007-04,1.530,
2007-07,0.863,
2007-10,0.883,
2008-01,0.884,
2008-04,0.886,
2008-07,0.880,
2008-10,0.913,
2009-01,0.908,
2009-04,0.914,
2009-07,0.905,
2009-10,0.929,
2010-01,0.918,
2010-04,0.920,
2010-07,0.915,
2010-10,0.944,
2011-01,0.942,
2011-04,0.949,
2011-07,0.944,
2011-10,0.963,
2012-01,0.967,
2012-04,0.953,
2012-07,0.960,
2012-10,0.974,
2013-01,0.980,
2013-04,0.982,
2013-07,0.980,
2013-10,0.989,
2014-01,0.991,
2014-04,0.992,
2014-07,0.998,
