"",BBK01.OEAE27L,BBK01.OEAE27L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:14,
2002-01,1.053,
2002-04,0.913,
2002-07,0.800,
2002-10,0.710,
2003-01,0.747,
2003-04,0.813,
2003-07,1.000,
2003-10,0.961,
2004-01,1.117,
2004-04,0.924,
2004-07,1.028,
2004-10,0.858,
2005-01,0.988,
2005-04,0.935,
2005-07,0.914,
2005-10,0.902,
2006-01,0.995,
2006-04,1.020,
2006-07,1.341,
2006-10,1.208,
2007-01,1.248,
2007-04,1.187,
2007-07,1.432,
2007-10,1.534,
2008-01,1.617,
2008-04,1.578,
2008-07,1.869,
2008-10,1.715,
2009-01,1.485,
2009-04,1.382,
2009-07,1.124,
2009-10,1.129,
2010-01,0.939,
2010-04,0.795,
2010-07,1.390,
2010-10,1.212,
2011-01,1.518,
2011-04,1.409,
2011-07,1.529,
2011-10,1.554,
2012-01,1.849,
2012-04,1.861,
2012-07,1.836,
2012-10,1.971,
2013-01,1.819,
2013-04,1.645,
2013-07,1.676,
2013-10,1.611,
2014-01,1.576,
2014-04,1.570,
2014-07,1.437,
