"",BBK01.OEAD18G,BBK01.OEAD18G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:33,
2002-01,2.086,
2002-04,2.189,
2002-07,2.345,
2002-10,1.984,
2003-01,1.792,
2003-04,2.043,
2003-07,2.145,
2003-10,2.012,
2004-01,2.094,
2004-04,1.836,
2004-07,1.825,
2004-10,1.582,
2005-01,1.730,
2005-04,1.655,
2005-07,1.671,
2005-10,1.419,
2006-01,1.527,
2006-04,1.587,
2006-07,1.651,
2006-10,1.411,
2007-01,1.574,
2007-04,1.669,
2007-07,1.596,
2007-10,1.481,
2008-01,2.223,
2008-04,2.142,
2008-07,1.651,
2008-10,1.169,
2009-01,1.333,
2009-04,1.273,
2009-07,1.204,
2009-10,1.083,
2010-01,1.018,
2010-04,1.054,
2010-07,1.060,
2010-10,0.901,
2011-01,0.993,
2011-04,0.970,
2011-07,0.981,
2011-10,0.857,
2012-01,0.939,
2012-04,0.958,
2012-07,0.932,
2012-10,0.809,
2013-01,0.878,
2013-04,0.910,
2013-07,0.866,
2013-10,0.775,
2014-01,0.844,
2014-04,0.918,
2014-07,0.898,
