"",BBK01.TQ7028,BBK01.TQ7028_FLAGS
"",Non-financial corporations sector - Total debt to equity FSI-I028,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:37,
2005-10,116.71,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,108.34,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,101.12,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,122.19,
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,112.87,
2010-01,.,No value available
2010-04,.,No value available
2010-07,.,No value available
2010-10,96.04,
2011-01,.,No value available
2011-04,.,No value available
2011-07,.,No value available
2011-10,105.89,
2012-01,.,No value available
2012-04,.,No value available
2012-07,.,No value available
2012-10,94.31,
2013-01,91.35,
2013-04,93.15,
2013-07,87.19,
2013-10,84.92,
2014-01,84.50,
2014-04,84.67,
