"",BBK01.OEAC38G,BBK01.OEAC38G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:43,
2002-01,0.353,
2002-04,0.381,
2002-07,0.387,
2002-10,0.415,
2003-01,0.397,
2003-04,0.462,
2003-07,0.298,
2003-10,0.478,
2004-01,0.560,
2004-04,0.539,
2004-07,0.466,
2004-10,0.484,
2005-01,0.476,
2005-04,0.768,
2005-07,1.048,
2005-10,1.245,
2006-01,1.256,
2006-04,1.227,
2006-07,1.382,
2006-10,1.237,
2007-01,1.308,
2007-04,1.342,
2007-07,1.223,
2007-10,1.189,
2008-01,0.966,
2008-04,1.124,
2008-07,1.399,
2008-10,1.231,
2009-01,1.220,
2009-04,2.514,
2009-07,2.729,
2009-10,3.543,
2010-01,4.411,
2010-04,4.935,
2010-07,5.489,
2010-10,6.489,
2011-01,6.385,
2011-04,6.345,
2011-07,6.856,
2011-10,7.525,
2012-01,7.687,
2012-04,7.736,
2012-07,7.855,
2012-10,7.554,
2013-01,7.807,
2013-04,7.801,
2013-07,6.963,
2013-10,7.908,
2014-01,7.819,
2014-04,7.499,
2014-07,7.330,
