"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.D.F512._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.D.F512._Z._T._X.N_FLAGS
"",IIP - Direct investment - Unlisted shares - Net (Assets minus Liabilities) - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:53,
1999-10,111129,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,110288,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,180703,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,159670,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,151583,
2004-01,148589,
2004-04,153520,
2004-07,151552,
2004-10,148822,
2005-01,159155,
2005-04,170585,
2005-07,176121,
2005-10,185556,
2006-01,188373,
2006-04,188096,
2006-07,204366,
2006-10,206294,
2007-01,216954,
2007-04,226039,
2007-07,223553,
2007-10,232852,
2008-01,228653,
2008-04,234936,
2008-07,244461,
2008-10,225929,
2009-01,231340,
2009-04,241028,
2009-07,246279,
2009-10,248506,
2010-01,266930,
2010-04,285413,
2010-07,273253,
2010-10,280690,
2011-01,280129,
2011-04,286403,
2011-07,293250,
2011-10,301086,
2012-01,309138,
2012-04,318321,
2012-07,325567,
2012-10,322340,
2013-01,328258,
2013-04,320552,
2013-07,324307,
2013-10,323025,
2014-01,330018,
2014-04,342154,
2014-07,358409,
