"",BBK01.OELO05N,BBK01.OELO05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:26,
2002-01,0.061,
2002-04,0.060,
2002-07,0.067,
2002-10,0.829,
2003-01,0.097,
2003-04,0.056,
2003-07,0.061,
2003-10,0.728,
2004-01,0.084,
2004-04,0.048,
2004-07,0.051,
2004-10,0.674,
2005-01,0.144,
2005-04,0.043,
2005-07,0.047,
2005-10,0.637,
2006-01,0.069,
2006-04,0.040,
2006-07,0.043,
2006-10,0.663,
2007-01,0.064,
2007-04,0.040,
2007-07,0.051,
2007-10,0.700,
2008-01,0.058,
2008-04,0.041,
2008-07,0.052,
2008-10,0.707,
2009-01,0.059,
2009-04,0.041,
2009-07,0.057,
2009-10,0.622,
2010-01,0.061,
2010-04,0.041,
2010-07,0.049,
2010-10,0.578,
2011-01,0.059,
2011-04,0.041,
2011-07,0.049,
2011-10,0.554,
2012-01,0.060,
2012-04,0.040,
2012-07,0.046,
2012-10,0.476,
2013-01,0.052,
2013-04,0.035,
2013-07,0.035,
2013-10,0.332,
2014-01,0.038,
2014-04,0.028,
2014-07,0.024,
