"",BBFB1.Q.N.DE.E1.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:17,
1991-01,947.137,
1991-04,760.195,
1991-07,660.646,
1991-10,846.401,
1992-01,763.903,
1992-04,-379.655,
1992-07,176.781,
1992-10,-186.114,
1993-01,599.355,
1993-04,877.180,
1993-07,195.723,
1993-10,-1189.488,
1994-01,367.243,
1994-04,830.376,
1994-07,744.869,
1994-10,2388.426,
1995-01,1581.346,
1995-04,177.704,
1995-07,1529.107,
1995-10,1857.549,
1996-01,1047.537,
1996-04,885.715,
1996-07,1651.231,
1996-10,5026.650,
1997-01,5866.503,
1997-04,-210.388,
1997-07,1816.151,
1997-10,6519.439,
1998-01,16100.210,
1998-04,8237.844,
1998-07,-3292.616,
1998-10,1887.452,
1999-01,8571.223,
1999-04,10533.301,
1999-07,12034.559,
1999-10,39683.203,
2000-01,159085.176,
2000-04,43181.727,
2000-07,62839.377,
2000-10,-19943.569,
2001-01,13823.755,
2001-04,4283.990,
2001-07,19683.554,
2001-10,12129.621,
2002-01,22463.520,
2002-04,23325.818,
2002-07,8438.410,
2002-10,8803.990,
2003-01,26005.946,
2003-04,15478.193,
2003-07,13981.718,
2003-10,2164.764,
2004-01,-21939.501,
2004-04,2942.515,
2004-07,-1493.330,
2004-10,1092.546,
2005-01,8908.069,
2005-04,5743.376,
2005-07,3953.271,
2005-10,32687.336,
2006-01,11407.747,
2006-04,8098.762,
2006-07,9069.902,
2006-10,20939.797,
2007-01,16269.977,
2007-04,7912.627,
2007-07,6770.214,
2007-10,-13529.277,
2008-01,2081.990,
2008-04,10211.238,
2008-07,12427.919,
2008-10,-917.908,
2009-01,14704.683,
2009-04,7805.921,
2009-07,2650.581,
2009-10,15831.320,
2010-01,6840.801,
2010-04,-1018.157,
2010-07,19857.605,
2010-10,20718.276,
2011-01,6503.491,
2011-04,19422.309,
2011-07,14084.130,
2011-10,11705.976,
2012-01,8315.626,
2012-04,5161.802,
2012-07,-2548.045,
2012-10,17194.928,
2013-01,7345.668,
2013-04,14603.973,
2013-07,3032.482,
2013-10,7524.243,
2014-01,2220.761,Provisional value
2014-04,4638.100,Provisional value
2014-07,-8911.667,Provisional value
2014-10,-9865.996,Provisional value
