"",BBK01.OUG103,BBK01.OUG103_FLAGS
"",Balances and loans to domestic banks (MFIs) / long-term / Landesbanken,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:45:50,
1958-12,0.783,
1959-01,-,Nothing exists
1959-02,-,Nothing exists
1959-03,-,Nothing exists
1959-04,-,Nothing exists
1959-05,-,Nothing exists
1959-06,0.932,
1959-07,-,Nothing exists
1959-08,-,Nothing exists
1959-09,-,Nothing exists
1959-10,-,Nothing exists
1959-11,-,Nothing exists
1959-12,1.008,
1960-01,-,Nothing exists
1960-02,-,Nothing exists
1960-03,-,Nothing exists
1960-04,-,Nothing exists
1960-05,-,Nothing exists
1960-06,1.054,
1960-07,-,Nothing exists
1960-08,-,Nothing exists
1960-09,-,Nothing exists
1960-10,-,Nothing exists
1960-11,-,Nothing exists
1960-12,1.089,
1961-01,-,Nothing exists
1961-02,-,Nothing exists
1961-03,-,Nothing exists
1961-04,-,Nothing exists
1961-05,-,Nothing exists
1961-06,1.311,
1961-07,-,Nothing exists
1961-08,-,Nothing exists
1961-09,-,Nothing exists
1961-10,-,Nothing exists
1961-11,-,Nothing exists
1961-12,1.385,
1962-01,-,Nothing exists
1962-02,-,Nothing exists
1962-03,-,Nothing exists
1962-04,-,Nothing exists
1962-05,-,Nothing exists
1962-06,1.579,
1962-07,-,Nothing exists
1962-08,-,Nothing exists
1962-09,-,Nothing exists
1962-10,-,Nothing exists
1962-11,-,Nothing exists
1962-12,1.656,
1963-01,-,Nothing exists
1963-02,-,Nothing exists
1963-03,-,Nothing exists
1963-04,-,Nothing exists
1963-05,-,Nothing exists
1963-06,1.784,
1963-07,-,Nothing exists
1963-08,-,Nothing exists
1963-09,-,Nothing exists
1963-10,-,Nothing exists
1963-11,-,Nothing exists
1963-12,1.895,
1964-01,-,Nothing exists
1964-02,-,Nothing exists
1964-03,-,Nothing exists
1964-04,-,Nothing exists
1964-05,-,Nothing exists
1964-06,1.993,
1964-07,-,Nothing exists
1964-08,-,Nothing exists
1964-09,-,Nothing exists
1964-10,-,Nothing exists
1964-11,-,Nothing exists
1964-12,2.199,
1965-01,2.204,
1965-02,2.231,
1965-03,2.247,
1965-04,2.285,
1965-05,2.320,
1965-06,2.291,
1965-07,2.339,
1965-08,2.340,
1965-09,2.357,
1965-10,2.383,
1965-11,2.492,
1965-12,2.488,
1966-01,2.515,
1966-02,2.518,
1966-03,2.530,
1966-04,2.542,
1966-05,2.530,
1966-06,2.512,
1966-07,2.553,
1966-08,2.555,
1966-09,2.576,
1966-10,2.594,
1966-11,2.595,
1966-12,2.582,
1967-01,2.607,
1967-02,2.625,
1967-03,2.679,
1967-04,2.735,
1967-05,2.765,
1967-06,2.762,
1967-07,2.817,
1967-08,2.839,
1967-09,2.856,
1967-10,2.860,
1967-11,2.943,
1967-12,2.953,
1968-01,3.103,
1968-02,3.157,
1968-03,3.160,
1968-04,3.168,
1968-05,3.185,
1968-06,3.189,
1968-07,3.207,
1968-08,3.275,
1968-09,3.293,
1968-10,3.340,
1968-11,3.386,
1968-12,3.656,
1969-01,3.678,
1969-02,3.673,
1969-03,3.738,
1969-04,3.802,
1969-05,3.807,
1969-06,3.816,
1969-07,3.881,
1969-08,3.924,
1969-09,3.998,
1969-10,4.062,
1969-11,4.203,
1969-12,4.159,
1970-01,4.154,
1970-02,4.194,
1970-03,4.191,
1970-04,4.273,
1970-05,4.329,
1970-06,4.344,
1970-07,4.384,
1970-08,4.603,
1970-09,4.686,
1970-10,4.743,
1970-11,4.810,
1970-12,4.708,
1971-01,4.762,
1971-02,4.775,
1971-03,4.765,
1971-04,4.862,
1971-05,4.908,
1971-06,4.876,
1971-07,4.966,
1971-08,5.028,
1971-09,5.053,
1971-10,5.150,
1971-11,5.221,
1971-12,5.282,
1972-01,5.336,
1972-02,5.437,
1972-03,5.472,
1972-04,5.866,
1972-05,6.043,
1972-06,6.026,
1972-07,6.474,
1972-08,6.615,
1972-09,6.621,
1972-10,6.711,
1972-11,6.803,
1972-12,6.825,
1973-01,6.963,
1973-02,6.942,
1973-03,6.952,
1973-04,7.053,
1973-05,7.178,
1973-06,7.200,
1973-07,7.406,
1973-08,7.553,
1973-09,7.701,
1973-10,7.911,
1973-11,8.007,
1973-12,8.145,
1974-01,8.083,
1974-02,8.244,
1974-03,7.405,
1974-04,7.484,
1974-05,7.496,
1974-06,7.416,
1974-07,7.528,
1974-08,7.543,
1974-09,7.626,
1974-10,7.729,
1974-11,7.826,
1974-12,7.957,
1975-01,7.908,
1975-02,7.927,
1975-03,7.978,
1975-04,7.995,
1975-05,8.041,
1975-06,7.991,
1975-07,8.010,
1975-08,8.001,
1975-09,7.964,
1975-10,8.018,
1975-11,8.049,
1975-12,7.866,
1976-01,7.904,
1976-02,7.940,
1976-03,7.999,
1976-04,8.074,
1976-05,8.164,
1976-06,7.942,
1976-07,7.953,
1976-08,7.981,
1976-09,8.104,
1976-10,8.182,
1976-11,8.291,
1976-12,8.428,
1977-01,8.415,
1977-02,8.443,
1977-03,8.509,
1977-04,8.817,
1977-05,9.002,
1977-06,9.167,
1977-07,9.732,
1977-08,10.239,
1977-09,10.687,
1977-10,11.040,
1977-11,11.432,
1977-12,11.803,
1978-01,11.817,
1978-02,12.041,
1978-03,12.177,
1978-04,12.448,
1978-05,12.609,
1978-06,12.718,
1978-07,12.898,
1978-08,13.190,
1978-09,13.379,
1978-10,13.748,
1978-11,14.209,
1978-12,14.358,
