"",BBDE1.M.DE.Y.AEP1.A2P320000.F.V.I10.A,BBDE1.M.DE.Y.AEP1.A2P320000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, euro-area countries / At current prices, flows / Germany / Capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:08,
2010-01,88.7,
2010-02,90.7,
2010-03,95.5,
2010-04,99.2,
2010-05,98.7,
2010-06,95.1,
2010-07,99.9,
2010-08,103.9,
2010-09,103.2,
2010-10,102.0,
2010-11,109.3,
2010-12,111.6,
2011-01,112.0,
2011-02,114.4,
2011-03,113.2,
2011-04,118.7,
2011-05,110.8,
2011-06,101.2,
2011-07,110.1,
2011-08,114.1,
2011-09,108.8,
2011-10,110.8,
2011-11,105.5,
2011-12,109.3,
2012-01,101.4,
2012-02,100.3,
2012-03,99.6,
2012-04,94.6,
2012-05,97.6,
2012-06,91.7,
2012-07,97.1,
2012-08,94.9,
2012-09,93.9,
2012-10,95.1,
2012-11,91.0,
2012-12,96.1,
2013-01,95.5,
2013-02,92.9,
2013-03,92.3,
2013-04,94.1,
2013-05,95.0,
2013-06,100.6,
2013-07,96.9,
2013-08,95.2,
2013-09,96.8,
2013-10,95.5,
2013-11,97.9,
2013-12,96.5,
2014-01,100.4,
2014-02,99.8,
2014-03,99.5,
2014-04,100.3,
2014-05,94.0,
2014-06,93.4,
2014-07,101.4,
2014-08,94.4,
2014-09,105.5,
2014-10,107.9,
2014-11,108.4,
2014-12,108.3,Provisional value
