"",BBQFS.M.DE.LRBA.TA_GDP._X.0000,BBQFS.M.DE.LRBA.TA_GDP._X.0000_FLAGS
"",Total assets of German banks in relation to gross domestic product - Landesbanken and regional insitutions of credit cooperatives (FSR 2014),
unit,% des BIP/% of GDP (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:32,
1999-01,60.83,
1999-02,60.41,
1999-03,60.79,
1999-04,61.02,
1999-05,61.49,
1999-06,62.33,
1999-07,62.68,
1999-08,63.69,
1999-09,64.20,
1999-10,64.72,
1999-11,66.13,
1999-12,66.06,
2000-01,65.27,
2000-02,65.24,
2000-03,65.57,
2000-04,65.79,
2000-05,66.61,
2000-06,66.61,
2000-07,66.28,
2000-08,66.81,
2000-09,66.98,
2000-10,68.00,
2000-11,68.47,
2000-12,68.60,
2001-01,67.01,
2001-02,67.68,
2001-03,68.74,
2001-04,68.29,
2001-05,68.75,
2001-06,69.67,
2001-07,68.16,
2001-08,68.42,
2001-09,69.83,
2001-10,68.78,
2001-11,69.32,
2001-12,68.12,
2002-01,67.35,
2002-02,67.13,
2002-03,67.58,
2002-04,67.30,
2002-05,67.44,
2002-06,66.81,
2002-07,66.52,
2002-08,67.38,
2002-09,67.88,
2002-10,68.66,
2002-11,69.56,
2002-12,68.91,
2003-01,68.22,
2003-02,69.38,
2003-03,70.00,
2003-04,69.48,
2003-05,69.49,
2003-06,69.72,
2003-07,69.70,
2003-08,69.14,
2003-09,68.76,
2003-10,68.72,
2003-11,69.63,
2003-12,69.01,
2004-01,68.63,
2004-02,69.47,
2004-03,70.05,
2004-04,70.33,
2004-05,70.46,
2004-06,70.63,
2004-07,70.99,
2004-08,70.85,
2004-09,70.32,
2004-10,70.42,
2004-11,70.88,
2004-12,65.60,
2005-01,65.53,
2005-02,66.32,
2005-03,67.08,
2005-04,68.85,
2005-05,68.65,
2005-06,69.68,
2005-07,69.54,
2005-08,70.00,
2005-09,70.29,
2005-10,69.73,
2005-11,69.96,
2005-12,69.25,
2006-01,68.81,
2006-02,69.92,
2006-03,70.15,
2006-04,70.67,
2006-05,70.06,
2006-06,70.53,
2006-07,69.69,
2006-08,69.13,
2006-09,71.28,
2006-10,69.78,
2006-11,70.48,
2006-12,70.39,
2007-01,69.95,
2007-02,70.10,
2007-03,70.63,
2007-04,70.36,
2007-05,70.28,
2007-06,70.41,
2007-07,69.48,
2007-08,70.77,
2007-09,72.37,
2007-10,72.29,
2007-11,72.95,
2007-12,73.61,
2008-01,72.09,
2008-02,72.51,
2008-03,72.47,
2008-04,72.12,
2008-05,72.21,
2008-06,73.27,
2008-07,72.01,
2008-08,72.75,
2008-09,74.04,
2008-10,74.78,
2008-11,73.40,
2008-12,71.89,
2009-01,73.55,
2009-02,72.68,
2009-03,71.79,
2009-04,72.91,
2009-05,71.77,
2009-06,72.05,
2009-07,71.80,
2009-08,71.80,
2009-09,71.23,
2009-10,71.02,
2009-11,70.28,
2009-12,69.51,
2010-01,68.81,
2010-02,68.92,
2010-03,68.99,
2010-04,68.41,
2010-05,68.09,
2010-06,68.16,
2010-07,65.03,
2010-08,65.17,
2010-09,64.56,
2010-10,63.33,
2010-11,63.46,
2010-12,67.15,
2011-01,65.84,
2011-02,64.93,
2011-03,63.57,
2011-04,62.33,
2011-05,62.29,
2011-06,61.59,
2011-07,61.05,
2011-08,62.23,
2011-09,64.61,
2011-10,63.23,
2011-11,63.34,
2011-12,63.19,
2012-01,63.71,
2012-02,63.89,
2012-03,63.84,
2012-04,63.38,
2012-05,64.98,
2012-06,63.95,
2012-07,63.21,
2012-08,62.87,
2012-09,62.51,
2012-10,61.58,
2012-11,60.74,
2012-12,56.42,
2013-01,55.47,
2013-02,55.06,
2013-03,54.83,
2013-04,54.13,
2013-05,53.13,
2013-06,52.24,
2013-07,51.17,
2013-08,50.77,
2013-09,50.74,
2013-10,49.91,
2013-11,49.90,
2013-12,48.52,
2014-01,48.36,
2014-02,48.43,
2014-03,48.04,
2014-04,47.20,
2014-05,47.84,
2014-06,47.75,
2014-07,47.17,
2014-08,47.61,
2014-09,47.55,
"",Methodology: Annualised quarterly data have been used for the gross domestic product. Within the Bilanzrechtsmodernisierungsgesetz the calculation of total assets (inclusion of derivative trading securities) was adjusted in 2010.,
