"",BBK01.OEYO01G,BBK01.OEYO01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:42,
2002-01,5.175,
2002-04,5.250,
2002-07,5.178,
2002-10,5.262,
2003-01,5.465,
2003-04,5.606,
2003-07,5.742,
2003-10,5.734,
2004-01,5.664,
2004-04,5.657,
2004-07,5.615,
2004-10,5.654,
2005-01,5.626,
2005-04,5.640,
2005-07,8.179,
2005-10,8.266,
2006-01,8.355,
2006-04,8.315,
2006-07,8.130,
2006-10,7.947,
2007-01,7.618,
2007-04,7.446,
2007-07,7.007,
2007-10,6.666,
2008-01,6.526,
2008-04,6.341,
2008-07,5.966,
2008-10,5.673,
2009-01,5.547,
2009-04,5.915,
2009-07,6.026,
2009-10,6.265,
2010-01,6.815,
2010-04,6.900,
2010-07,6.928,
2010-10,7.043,
2011-01,7.189,
2011-04,7.274,
2011-07,7.102,
2011-10,7.091,
2012-01,6.907,
2012-04,7.099,
2012-07,7.162,
2012-10,7.157,
2013-01,7.306,
2013-04,7.285,
2013-07,7.379,
2013-10,7.373,
2014-01,7.295,
2014-04,7.290,
2014-07,7.349,
