"",BBK01.OEYI08O,BBK01.OEYI08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:23,
2002-01,0.011,
2002-04,0.011,
2002-07,0.010,
2002-10,0.007,
2003-01,0.008,
2003-04,0.008,
2003-07,0.007,
2003-10,0.008,
2004-01,0.007,
2004-04,0.007,
2004-07,0.007,
2004-10,0.007,
2005-01,0.006,
2005-04,0.006,
2005-07,0.006,
2005-10,0.006,
2006-01,0.005,
2006-04,0.005,
2006-07,0.005,
2006-10,0.005,
2007-01,0.004,
2007-04,0.004,
2007-07,0.004,
2007-10,0.004,
2008-01,0.004,
2008-04,0.003,
2008-07,0.003,
2008-10,0.003,
2009-01,-,Nothing exists
2009-04,-,Nothing exists
2009-07,-,Nothing exists
2009-10,0.001,
2010-01,0.001,
2010-04,0.005,
2010-07,0.005,
2010-10,0.005,
2011-01,0.016,
2011-04,0.044,
2011-07,0.041,
2011-10,0.045,
2012-01,0.064,
2012-04,0.070,
2012-07,0.071,
2012-10,0.057,
2013-01,0.087,
2013-04,0.135,
2013-07,0.172,
2013-10,0.136,
2014-01,0.155,
2014-04,0.164,
2014-07,0.177,
