"",BBK01.OEGB01I,BBK01.OEGB01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:59,
2002-01,41.138,
2002-04,40.640,
2002-07,40.008,
2002-10,40.152,
2003-01,38.599,
2003-04,38.071,
2003-07,41.952,
2003-10,40.235,
2004-01,39.516,
2004-04,38.872,
2004-07,23.660,
2004-10,22.895,
2005-01,22.398,
2005-04,21.783,
2005-07,23.260,
2005-10,22.655,
2006-01,22.117,
2006-04,22.415,
2006-07,26.015,
2006-10,23.819,
2007-01,22.179,
2007-04,21.482,
2007-07,21.230,
2007-10,23.988,
2008-01,26.566,
2008-04,26.305,
2008-07,27.083,
2008-10,25.732,
2009-01,26.024,
2009-04,27.635,
2009-07,28.134,
2009-10,29.935,
2010-01,29.946,
2010-04,28.695,
2010-07,25.614,
2010-10,25.612,
2011-01,29.062,
2011-04,30.973,
2011-07,32.080,
2011-10,28.446,
2012-01,32.701,
2012-04,33.724,
2012-07,31.146,
2012-10,27.541,
2013-01,27.430,
2013-04,30.506,
2013-07,21.891,
2013-10,21.973,
2014-01,22.399,
2014-04,21.944,
2014-07,21.843,
