"",BBSF2.M.1.S.00000.REN01.A.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.A.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Sales receipts / Distribution funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:09,
2009-09,2651,
2009-10,3752,
2009-11,3187,
2009-12,7721,
2010-01,5491,
2010-02,3623,
2010-03,3303,
2010-04,3447,
2010-05,2001,
2010-06,2578,
2010-07,2712,
2010-08,2681,
2010-09,3153,
2010-10,5747,
2010-11,3369,
2010-12,4803,
2011-01,4438,
2011-02,5221,
2011-03,1796,
2011-04,2520,
2011-05,985,
2011-06,2101,
2011-07,969,
2011-08,1228,
2011-09,4022,
2011-10,2539,
2011-11,3453,
2011-12,7879,
2012-01,6196,
2012-02,4225,
2012-03,4109,
2012-04,1462,
2012-05,1928,
2012-06,4569,
2012-07,3368,
2012-08,3198,
2012-09,2308,
2012-10,4604,
2012-11,7006,
2012-12,6251,
2013-01,4952,
2013-02,5990,
2013-03,4291,
2013-04,2482,
2013-05,2481,
2013-06,2869,
2013-07,3341,
2013-08,1061,
2013-09,2756,
2013-10,5263,
2013-11,11818,
2013-12,6708,
2014-01,3886,
2014-02,4230,
2014-03,9304,
2014-04,1721,
2014-05,4414,
2014-06,3752,
2014-07,4501,
2014-08,3142,
2014-09,3028,
2014-10,4281,
2014-11,5528,
