"",BBK01.OEXO03V,BBK01.OEXO03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:17,
2002-01,0.494,
2002-04,0.436,
2002-07,0.338,
2002-10,0.301,
2003-01,0.403,
2003-04,0.314,
2003-07,0.319,
2003-10,0.281,
2004-01,0.355,
2004-04,0.270,
2004-07,0.242,
2004-10,0.236,
2005-01,0.288,
2005-04,0.255,
2005-07,0.301,
2005-10,0.254,
2006-01,0.345,
2006-04,0.333,
2006-07,0.299,
2006-10,0.326,
2007-01,0.435,
2007-04,0.347,
2007-07,0.353,
2007-10,0.372,
2008-01,0.490,
2008-04,0.425,
2008-07,0.444,
2008-10,0.611,
2009-01,0.541,
2009-04,0.450,
2009-07,0.390,
2009-10,0.569,
2010-01,0.526,
2010-04,0.318,
2010-07,0.292,
2010-10,0.338,
2011-01,0.400,
2011-04,0.312,
2011-07,0.278,
2011-10,0.349,
2012-01,0.405,
2012-04,0.284,
2012-07,0.345,
2012-10,0.410,
2013-01,0.382,
2013-04,0.302,
2013-07,0.213,
2013-10,0.225,
2014-01,0.225,
2014-04,0.203,
2014-07,0.197,
