"",BBK01.OEBB07R,BBK01.OEBB07R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:27,
2002-01,0.377,
2002-04,0.369,
2002-07,0.370,
2002-10,0.391,
2003-01,0.376,
2003-04,0.408,
2003-07,0.416,
2003-10,0.409,
2004-01,0.411,
2004-04,0.408,
2004-07,0.414,
2004-10,0.426,
2005-01,0.427,
2005-04,0.433,
2005-07,0.427,
2005-10,0.418,
2006-01,0.396,
2006-04,0.401,
2006-07,0.410,
2006-10,0.389,
2007-01,0.379,
2007-04,0.426,
2007-07,0.426,
2007-10,0.347,
2008-01,1.685,
2008-04,0.301,
2008-07,0.299,
2008-10,0.311,
2009-01,0.370,
2009-04,0.389,
2009-07,0.298,
2009-10,0.319,
2010-01,0.370,
2010-04,0.382,
2010-07,0.392,
2010-10,0.374,
2011-01,0.393,
2011-04,0.383,
2011-07,0.381,
2011-10,0.377,
2012-01,0.386,
2012-04,0.381,
2012-07,0.375,
2012-10,0.377,
2013-01,0.413,
2013-04,0.431,
2013-07,0.550,
2013-10,0.548,
2014-01,0.540,
2014-04,0.512,
2014-07,0.512,
