"",BBK01.OELJ03J,BBK01.OELJ03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:32,
2002-01,0.075,
2002-04,0.065,
2002-07,0.059,
2002-10,0.050,
2003-01,0.054,
2003-04,0.038,
2003-07,0.040,
2003-10,0.045,
2004-01,0.045,
2004-04,0.044,
2004-07,0.042,
2004-10,0.040,
2005-01,0.103,
2005-04,0.047,
2005-07,0.047,
2005-10,0.042,
2006-01,0.042,
2006-04,0.039,
2006-07,0.053,
2006-10,0.046,
2007-01,0.032,
2007-04,0.033,
2007-07,0.033,
2007-10,0.041,
2008-01,0.048,
2008-04,0.045,
2008-07,0.066,
2008-10,0.084,
2009-01,0.070,
2009-04,0.056,
2009-07,0.049,
2009-10,0.047,
2010-01,0.058,
2010-04,0.039,
2010-07,0.035,
2010-10,0.036,
2011-01,0.038,
2011-04,0.039,
2011-07,0.040,
2011-10,0.044,
2012-01,0.040,
2012-04,0.027,
2012-07,0.023,
2012-10,0.021,
2013-01,0.020,
2013-04,0.012,
2013-07,0.016,
2013-10,0.016,
2014-01,0.038,
2014-04,0.039,
2014-07,0.036,
