"",BBK01.OEAH09H,BBK01.OEAH09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:46,
2002-01,4.817,
2002-04,4.898,
2002-07,4.908,
2002-10,4.823,
2003-01,4.603,
2003-04,4.283,
2003-07,4.106,
2003-10,3.967,
2004-01,3.748,
2004-04,3.406,
2004-07,3.255,
2004-10,3.200,
2005-01,3.136,
2005-04,3.182,
2005-07,3.174,
2005-10,3.508,
2006-01,4.310,
2006-04,5.077,
2006-07,5.922,
2006-10,7.337,
2007-01,9.072,
2007-04,10.386,
2007-07,11.758,
2007-10,13.521,
2008-01,14.853,
2008-04,16.051,
2008-07,17.506,
2008-10,18.409,
2009-01,16.184,
2009-04,12.934,
2009-07,9.888,
2009-10,7.940,
2010-01,6.640,
2010-04,5.778,
2010-07,5.318,
2010-10,5.365,
2011-01,5.653,
2011-04,6.086,
2011-07,6.252,
2011-10,6.678,
2012-01,6.360,
2012-04,5.862,
2012-07,5.143,
2012-10,4.633,
2013-01,3.927,
2013-04,3.283,
2013-07,2.960,
2013-10,2.909,
2014-01,2.782,
2014-04,2.765,
2014-07,2.740,
