"",BBK01.OEAH62N,BBK01.OEAH62N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:33,
2002-01,2.038,
2002-04,2.033,
2002-07,1.980,
2002-10,1.866,
2003-01,1.882,
2003-04,1.829,
2003-07,1.709,
2003-10,1.633,
2004-01,1.507,
2004-04,1.497,
2004-07,1.427,
2004-10,0.701,
2005-01,0.811,
2005-04,0.745,
2005-07,0.792,
2005-10,0.837,
2006-01,0.879,
2006-04,0.891,
2006-07,0.921,
2006-10,0.975,
2007-01,1.131,
2007-04,1.260,
2007-07,1.477,
2007-10,2.217,
2008-01,2.530,
2008-04,2.662,
2008-07,3.032,
2008-10,3.354,
2009-01,3.330,
2009-04,3.121,
2009-07,2.952,
2009-10,2.668,
2010-01,2.283,
2010-04,2.196,
2010-07,1.992,
2010-10,1.991,
2011-01,2.095,
2011-04,2.258,
2011-07,2.627,
2011-10,3.270,
2012-01,3.920,
2012-04,3.858,
2012-07,3.725,
2012-10,3.421,
2013-01,3.110,
2013-04,3.044,
2013-07,2.988,
2013-10,3.106,
2014-01,2.989,
2014-04,2.834,
2014-07,2.929,
