"",BBK01.CEBL03,BBK01.CEBL03_FLAGS
"",Mutual funds shares debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:11,
1991-01,7.0,
1991-04,8.3,
1991-07,9.4,
1991-10,11.0,
1992-01,11.8,
1992-04,12.7,
1992-07,13.7,
1992-10,16.5,
1993-01,18.0,
1993-04,19.1,
1993-07,21.3,
1993-10,27.7,
1994-01,26.5,
1994-04,27.4,
1994-07,28.8,
1994-10,30.0,
1995-01,31.7,
1995-04,33.8,
1995-07,36.3,
1995-10,37.9,
1996-01,41.6,
1996-04,45.0,
1996-07,47.6,
1996-10,50.6,
1997-01,56.8,
1997-04,65.3,
1997-07,71.6,
1997-10,74.9,
1998-01,86.4,
1998-04,93.7,
1998-07,91.7,
1998-10,98.0,
1999-01,102.0,
1999-04,112.0,
1999-07,111.5,
1999-10,129.2,
2000-01,135.3,
2000-04,136.4,
2000-07,142.8,
2000-10,138.2,
2001-01,134.8,
2001-04,138.3,
2001-07,128.6,
2001-10,136.8,
2002-01,133.3,
2002-04,129.8,
2002-07,122.1,
2002-10,127.1,
2003-01,123.5,
2003-04,129.2,
2003-07,132.2,
2003-10,129.9,
2004-01,135.1,
2004-04,135.4,
2004-07,136.7,
2004-10,143.5,
2005-01,152.1,
2005-04,161.1,
2005-07,170.7,
2005-10,174.0,
2006-01,179.1,
2006-04,173.8,
2006-07,184.6,
2006-10,196.7,
2007-01,193.6,
2007-04,192.5,
2007-07,191.0,
2007-10,181.7,
2008-01,174.8,
2008-04,170.2,
2008-07,167.2,
2008-10,155.3,
2009-01,149.6,
2009-04,152.1,
2009-07,159.3,
2009-10,154.9,
2010-01,156.7,
2010-04,155.9,
2010-07,159.3,
2010-10,155.5,
2011-01,155.1,
2011-04,152.2,
2011-07,149.1,
2011-10,144.6,
2012-01,145.9,
2012-04,143.7,
2012-07,147.9,
2012-10,150.2,
2013-01,150.9,
2013-04,148.8,
2013-07,149.2,
2013-10,149.1,
2014-01,150.6,
