"",BBK01.OEAF05G,BBK01.OEAF05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:42,
2002-01,32.310,
2002-04,32.735,
2002-07,33.182,
2002-10,33.181,
2003-01,35.230,
2003-04,36.270,
2003-07,36.699,
2003-10,35.527,
2004-01,34.693,
2004-04,34.253,
2004-07,34.205,
2004-10,33.688,
2005-01,33.697,
2005-04,33.655,
2005-07,34.132,
2005-10,33.914,
2006-01,33.249,
2006-04,33.336,
2006-07,33.344,
2006-10,32.245,
2007-01,31.846,
2007-04,31.709,
2007-07,31.805,
2007-10,31.413,
2008-01,31.066,
2008-04,31.446,
2008-07,31.261,
2008-10,31.856,
2009-01,31.954,
2009-04,32.144,
2009-07,32.109,
2009-10,34.066,
2010-01,31.254,
2010-04,32.059,
2010-07,32.045,
2010-10,31.496,
2011-01,31.229,
2011-04,31.306,
2011-07,31.266,
2011-10,31.063,
2012-01,30.549,
2012-04,30.493,
2012-07,30.366,
2012-10,29.562,
2013-01,28.817,
2013-04,28.453,
2013-07,28.210,
2013-10,27.999,
2014-01,27.099,
2014-04,27.237,
2014-07,26.975,
