"",BBK01.OEAF06V,BBK01.OEAF06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:31,
2002-01,2.535,
2002-04,2.692,
2002-07,2.691,
2002-10,2.923,
2003-01,2.954,
2003-04,2.439,
2003-07,2.238,
2003-10,2.331,
2004-01,2.150,
2004-04,2.242,
2004-07,2.302,
2004-10,2.359,
2005-01,2.727,
2005-04,2.743,
2005-07,3.033,
2005-10,3.038,
2006-01,3.077,
2006-04,3.156,
2006-07,3.258,
2006-10,3.452,
2007-01,3.406,
2007-04,3.510,
2007-07,3.606,
2007-10,3.316,
2008-01,3.351,
2008-04,3.331,
2008-07,3.362,
2008-10,3.700,
2009-01,3.742,
2009-04,3.796,
2009-07,3.734,
2009-10,3.802,
2010-01,3.276,
2010-04,3.707,
2010-07,3.733,
2010-10,3.660,
2011-01,3.635,
2011-04,3.536,
2011-07,3.590,
2011-10,3.515,
2012-01,3.485,
2012-04,3.430,
2012-07,3.481,
2012-10,3.376,
2013-01,3.388,
2013-04,3.402,
2013-07,3.435,
2013-10,3.417,
2014-01,3.424,
2014-04,3.464,
2014-07,3.488,
