"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.O.F4.T._T.N.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.O.F4.T._T.N.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Loans / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:37,
1991-01,6607.932,
1991-04,6132.080,
1991-07,1466.821,
1991-10,-794.939,
1992-01,2358.103,
1992-04,553.913,
1992-07,20.016,
1992-10,2941.485,
1993-01,6370.204,
1993-04,4486.312,
1993-07,4233.210,
1993-10,15543.427,
1994-01,2876.699,
1994-04,1169.864,
1994-07,3375.026,
1994-10,3164.382,
1995-01,1913.241,
1995-04,7142.879,
1995-07,6671.136,
1995-10,5834.182,
1996-01,4907.646,
1996-04,5616.358,
1996-07,-1429.612,
1996-10,10517.493,
1997-01,10529.911,
1997-04,9629.033,
1997-07,8368.234,
1997-10,18385.564,
1998-01,10113.608,
1998-04,10118.517,
1998-07,17089.237,
1998-10,-6088.163,
1999-01,12781.261,
1999-04,14864.891,
1999-07,15516.981,
1999-10,8503.883,
2000-01,21182.461,
2000-04,-5385.084,
2000-07,25631.623,
2000-10,24052.759,
2001-01,32734.158,
2001-04,11863.044,
2001-07,10127.592,
2001-10,18613.698,
2002-01,26237.349,
2002-04,5921.226,
2002-07,8115.936,
2002-10,-3397.566,
2003-01,35472.013,
2003-04,12249.196,
2003-07,4119.834,
2003-10,9093.375,
2004-01,19191.453,
2004-04,-13520.882,
2004-07,22239.412,
2004-10,-1025.739,
2005-01,10146.806,
2005-04,21593.588,
2005-07,17812.780,
2005-10,5392.496,
2006-01,20593.907,
2006-04,30761.126,
2006-07,16957.055,
2006-10,23173.513,
2007-01,34033.188,
2007-04,37532.889,
2007-07,42576.787,
2007-10,27786.878,
2008-01,61935.958,
2008-04,17994.972,
2008-07,57524.957,
2008-10,-18574.852,
2009-01,-15515.480,
2009-04,28212.193,
2009-07,-30049.488,
2009-10,-29705.377,
2010-01,-10521.881,
2010-04,10895.382,
2010-07,-38272.685,
2010-10,3335.948,
2011-01,2631.670,
2011-04,5117.866,
2011-07,21358.521,
2011-10,-19880.089,
2012-01,12357.740,
2012-04,-10947.928,
2012-07,-1176.991,
2012-10,-1352.334,
2013-01,4580.948,
2013-04,-10946.051,
2013-07,-11955.900,
2013-10,-15032.126,
2014-01,7476.997,
2014-04,2676.678,
2014-07,-5916.525,
