"",BBK01.OEXM02R,BBK01.OEXM02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:38,
2002-01,0.059,
2002-04,0.071,
2002-07,0.075,
2002-10,0.085,
2003-01,0.079,
2003-04,0.090,
2003-07,0.088,
2003-10,0.094,
2004-01,0.092,
2004-04,0.129,
2004-07,0.131,
2004-10,0.155,
2005-01,0.155,
2005-04,0.168,
2005-07,0.175,
2005-10,0.182,
2006-01,0.171,
2006-04,0.185,
2006-07,0.166,
2006-10,0.164,
2007-01,0.144,
2007-04,0.131,
2007-07,0.125,
2007-10,0.111,
2008-01,0.092,
2008-04,0.139,
2008-07,0.081,
2008-10,0.184,
2009-01,0.384,
2009-04,0.462,
2009-07,0.535,
2009-10,0.546,
2010-01,0.528,
2010-04,0.544,
2010-07,0.577,
2010-10,0.556,
2011-01,0.486,
2011-04,0.501,
2011-07,0.512,
2011-10,0.382,
2012-01,0.216,
2012-04,0.282,
2012-07,0.252,
2012-10,0.250,
2013-01,0.204,
2013-04,0.192,
2013-07,0.196,
2013-10,0.157,
2014-01,0.171,
2014-04,0.203,
2014-07,0.211,
