"",BBK01.OEBJ04T,BBK01.OEBJ04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:28,
2002-01,0.555,
2002-04,0.554,
2002-07,0.471,
2002-10,0.450,
2003-01,0.418,
2003-04,0.390,
2003-07,0.356,
2003-10,0.373,
2004-01,0.335,
2004-04,0.322,
2004-07,0.292,
2004-10,0.393,
2005-01,0.318,
2005-04,0.288,
2005-07,0.308,
2005-10,0.348,
2006-01,0.323,
2006-04,0.345,
2006-07,0.380,
2006-10,0.579,
2007-01,0.518,
2007-04,0.489,
2007-07,0.606,
2007-10,0.657,
2008-01,0.717,
2008-04,0.751,
2008-07,0.825,
2008-10,0.665,
2009-01,0.354,
2009-04,0.270,
2009-07,0.213,
2009-10,0.181,
2010-01,0.166,
2010-04,0.173,
2010-07,0.200,
2010-10,0.261,
2011-01,0.203,
2011-04,0.283,
2011-07,0.343,
2011-10,0.575,
2012-01,0.641,
2012-04,0.662,
2012-07,0.695,
2012-10,0.682,
2013-01,1.037,
2013-04,0.666,
2013-07,0.652,
2013-10,0.620,
2014-01,0.565,
2014-04,0.626,
2014-07,0.566,
