"",BBK01.OEAC13J,BBK01.OEAC13J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:56,
2002-01,1.222,
2002-04,1.220,
2002-07,1.277,
2002-10,1.307,
2003-01,1.267,
2003-04,1.293,
2003-07,1.139,
2003-10,0.648,
2004-01,0.641,
2004-04,0.653,
2004-07,0.828,
2004-10,0.721,
2005-01,0.750,
2005-04,0.762,
2005-07,0.791,
2005-10,0.828,
2006-01,0.826,
2006-04,0.882,
2006-07,0.888,
2006-10,0.892,
2007-01,0.862,
2007-04,0.860,
2007-07,0.841,
2007-10,0.839,
2008-01,0.825,
2008-04,0.796,
2008-07,0.786,
2008-10,0.785,
2009-01,0.768,
2009-04,0.791,
2009-07,0.818,
2009-10,0.840,
2010-01,0.605,
2010-04,0.758,
2010-07,0.728,
2010-10,0.703,
2011-01,0.653,
2011-04,0.634,
2011-07,0.647,
2011-10,0.633,
2012-01,0.632,
2012-04,0.734,
2012-07,0.735,
2012-10,0.718,
2013-01,0.713,
2013-04,0.726,
2013-07,0.729,
2013-10,0.740,
2014-01,0.721,
2014-04,0.714,
2014-07,0.729,
