"",BBK01.OEAA04H,BBK01.OEAA04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:44,
2002-01,0.900,
2002-04,0.741,
2002-07,0.692,
2002-10,0.709,
2003-01,0.678,
2003-04,0.648,
2003-07,0.637,
2003-10,0.728,
2004-01,0.606,
2004-04,0.509,
2004-07,0.514,
2004-10,0.608,
2005-01,0.586,
2005-04,0.505,
2005-07,0.480,
2005-10,0.550,
2006-01,0.462,
2006-04,0.454,
2006-07,0.427,
2006-10,0.393,
2007-01,0.363,
2007-04,0.399,
2007-07,0.366,
2007-10,0.386,
2008-01,0.300,
2008-04,0.323,
2008-07,0.217,
2008-10,0.401,
2009-01,0.277,
2009-04,0.185,
2009-07,0.169,
2009-10,0.177,
2010-01,0.266,
2010-04,0.148,
2010-07,0.136,
2010-10,0.259,
2011-01,0.147,
2011-04,0.142,
2011-07,0.162,
2011-10,0.229,
2012-01,0.174,
2012-04,0.131,
2012-07,0.130,
2012-10,0.141,
2013-01,0.099,
2013-04,0.111,
2013-07,0.083,
2013-10,0.098,
2014-01,0.078,
2014-04,0.077,
2014-07,0.074,
