"",BBK01.OELK04K,BBK01.OELK04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:31,
2002-01,0.085,
2002-04,0.093,
2002-07,0.100,
2002-10,0.095,
2003-01,0.083,
2003-04,0.079,
2003-07,0.076,
2003-10,0.069,
2004-01,0.067,
2004-04,0.060,
2004-07,0.062,
2004-10,0.062,
2005-01,0.058,
2005-04,0.061,
2005-07,0.057,
2005-10,0.057,
2006-01,0.059,
2006-04,0.061,
2006-07,0.068,
2006-10,0.066,
2007-01,0.057,
2007-04,0.055,
2007-07,0.053,
2007-10,0.048,
2008-01,0.054,
2008-04,0.060,
2008-07,0.069,
2008-10,0.077,
2009-01,0.067,
2009-04,0.058,
2009-07,0.052,
2009-10,0.037,
2010-01,0.027,
2010-04,0.029,
2010-07,0.024,
2010-10,0.029,
2011-01,0.028,
2011-04,0.031,
2011-07,0.034,
2011-10,0.037,
2012-01,0.031,
2012-04,0.030,
2012-07,0.028,
2012-10,0.025,
2013-01,0.024,
2013-04,0.026,
2013-07,0.027,
2013-10,0.039,
2014-01,0.038,
2014-04,0.028,
2014-07,0.028,
