"",BBK01.OEAC56O,BBK01.OEAC56O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:42,
2002-01,9.623,
2002-04,10.117,
2002-07,9.947,
2002-10,9.799,
2003-01,9.924,
2003-04,9.249,
2003-07,7.830,
2003-10,8.681,
2004-01,8.686,
2004-04,8.778,
2004-07,8.783,
2004-10,8.679,
2005-01,8.682,
2005-04,8.608,
2005-07,8.440,
2005-10,8.373,
2006-01,8.375,
2006-04,8.353,
2006-07,8.383,
2006-10,8.526,
2007-01,8.527,
2007-04,8.602,
2007-07,8.624,
2007-10,8.500,
2008-01,8.445,
2008-04,8.506,
2008-07,8.316,
2008-10,8.038,
2009-01,7.953,
2009-04,8.077,
2009-07,8.106,
2009-10,7.980,
2010-01,8.084,
2010-04,7.830,
2010-07,8.228,
2010-10,8.452,
2011-01,8.353,
2011-04,8.307,
2011-07,8.064,
2011-10,8.043,
2012-01,8.220,
2012-04,8.567,
2012-07,8.484,
2012-10,8.607,
2013-01,8.631,
2013-04,8.799,
2013-07,9.293,
2013-10,9.327,
2014-01,9.491,
2014-04,9.530,
2014-07,9.548,
