"",BBK01.CEH30N,BBK01.CEH30N_FLAGS
"",Securities other than shares debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:26,
1991-01,3.4,
1991-04,5.0,
1991-07,10.7,
1991-10,14.7,
1992-01,4.2,
1992-04,2.0,
1992-07,26.0,
1992-10,29.7,
1993-01,40.5,
1993-04,30.1,
1993-07,18.1,
1993-10,27.8,
1994-01,-2.6,
1994-04,-9.7,
1994-07,4.7,
1994-10,12.1,
1995-01,6.2,
1995-04,12.9,
1995-07,8.4,
1995-10,12.4,
1996-01,15.8,
1996-04,7.5,
1996-07,20.4,
1996-10,18.5,
1997-01,23.9,
1997-04,11.9,
1997-07,16.8,
1997-10,16.4,
1998-01,22.7,
1998-04,11.8,
1998-07,41.2,
1998-10,9.6,
1999-01,39.5,
1999-04,31.5,
1999-07,47.6,
1999-10,31.3,
2000-01,4.8,
2000-04,39.9,
2000-07,19.4,
2000-10,10.7,
2001-01,6.3,
2001-04,13.3,
2001-07,25.2,
2001-10,24.1,
2002-01,23.1,
2002-04,46.6,
2002-07,42.0,
2002-10,3.2,
2003-01,41.2,
2003-04,32.3,
2003-07,-5.0,
2003-10,10.7,
2004-01,48.6,
2004-04,19.7,
2004-07,43.3,
2004-10,14.1,
2005-01,52.6,
2005-04,62.8,
2005-07,26.5,
2005-10,16.0,
2006-01,50.5,
2006-04,8.5,
2006-07,7.3,
2006-10,18.5,
2007-01,20.4,
2007-04,56.3,
2007-07,-23.4,
2007-10,37.0,
2008-01,-0.5,
2008-04,41.7,
2008-07,25.0,
2008-10,-14.3,
2009-01,-22.6,
2009-04,35.9,
2009-07,-36.1,
2009-10,-2.2,
2010-01,39.5,
2010-04,1.3,
2010-07,-12.1,
2010-10,20.9,
2011-01,26.2,
2011-04,26.1,
2011-07,31.1,
2011-10,-11.8,
2012-01,-0.6,
2012-04,30.2,
2012-07,-3.5,
2012-10,2.2,
2013-01,17.2,
2013-04,-31.4,
2013-07,-21.9,
2013-10,-25.4,
2014-01,6.1,
