"",BBSF2.M.1.P.00000.DAC01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.DAC01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Public funds / Funds-of-funds / Long-term debt securities,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:27,
1999-01,-,Nothing exists
1999-02,-,Nothing exists
1999-03,-,Nothing exists
1999-04,-,Nothing exists
1999-05,-,Nothing exists
1999-06,-,Nothing exists
1999-07,-,Nothing exists
1999-08,-,Nothing exists
1999-09,-,Nothing exists
1999-10,-,Nothing exists
1999-11,-,Nothing exists
1999-12,-,Nothing exists
2000-01,-,Nothing exists
2000-02,-,Nothing exists
2000-03,-,Nothing exists
2000-04,-,Nothing exists
2000-05,-,Nothing exists
2000-06,-,Nothing exists
2000-07,-,Nothing exists
2000-08,-,Nothing exists
2000-09,-,Nothing exists
2000-10,2,
2000-11,2,
2000-12,2,
2001-01,2,
2001-02,2,
2001-03,2,
2001-04,2,
2001-05,2,
2001-06,2,
2001-07,2,
2001-08,2,
2001-09,2,
2001-10,2,
2001-11,2,
2001-12,2,
2002-01,2,
2002-02,2,
2002-03,2,
2002-04,2,
2002-05,2,
2002-06,2,
2002-07,2,
2002-08,2,
2002-09,2,
2002-10,2,
2002-11,1,
2002-12,1,
2003-01,2,
2003-02,2,
2003-03,2,
2003-04,1,
2003-05,2,
2003-06,1,
2003-07,1,
2003-08,1,
2003-09,1,
2003-10,1,
2003-11,1,
2003-12,1,
2004-01,1,
2004-02,1,
2004-03,1,
2004-04,1,
2004-05,1,
2004-06,1,
2004-07,1,
2004-08,1,
2004-09,11,
2004-10,22,
2004-11,42,
2004-12,53,
2005-01,62,
2005-02,114,
2005-03,134,
2005-04,136,
2005-05,152,
2005-06,174,
2005-07,174,
2005-08,185,
2005-09,179,
2005-10,171,
2005-11,142,
2005-12,120,
2006-01,120,
2006-02,92,
2006-03,82,
2006-04,25,
2006-05,25,
2006-06,65,
2006-07,61,
2006-08,43,
2006-09,43,
2006-10,43,
2006-11,43,
2006-12,16,
2007-01,-,Nothing exists
2007-02,5,
2007-03,5,
2007-04,5,
2007-05,4,
2007-06,4,
2007-07,4,
2007-08,5,
2007-09,6,
2007-10,36,
2007-11,42,
2007-12,47,
2008-01,52,
2008-02,56,
2008-03,60,
2008-04,62,
2008-05,67,
2008-06,67,
2008-07,138,
2008-08,143,
2008-09,141,
2008-10,138,
2008-11,139,
2008-12,159,
2009-01,158,
2009-02,181,
2009-03,187,
2009-04,188,
2009-05,212,
2009-06,225,
2009-07,176,
2009-08,176,
2009-09,244,
2009-10,178,
2009-11,189,
2009-12,204,
2010-01,232,
2010-02,238,
2010-03,198,
2010-04,203,
2010-05,202,
2010-06,204,
2010-07,218,
2010-08,240,
2010-09,230,
2010-10,241,
2010-11,239,
2010-12,248,
2011-01,345,
2011-02,328,
2011-03,312,
2011-04,302,
2011-05,293,
2011-06,280,
2011-07,478,
2011-08,478,
2011-09,519,
2011-10,518,
2011-11,503,
2011-12,440,
2012-01,526,
2012-02,566,
2012-03,545,
2012-04,594,
2012-05,597,
2012-06,648,
2012-07,644,
2012-08,663,
2012-09,730,
2012-10,661,
2012-11,618,
2012-12,617,
2013-01,544,
2013-02,539,
2013-03,527,
2013-04,528,
2013-05,537,
2013-06,481,
2013-07,493,
2013-08,469,
2013-09,465,
2013-10,472,
2013-11,489,
2013-12,501,
2014-01,516,
2014-02,448,
2014-03,451,
2014-04,466,
2014-05,472,
2014-06,464,
2014-07,450,
2014-08,455,
2014-09,460,
2014-10,613,
2014-11,651,
