"",BBK01.OEAM09U,BBK01.OEAM09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:06,
2002-01,0.008,
2002-04,0.006,
2002-07,0.006,
2002-10,0.006,
2003-01,0.007,
2003-04,0.007,
2003-07,0.001,
2003-10,0.012,
2004-01,0.012,
2004-04,0.012,
2004-07,0.022,
2004-10,0.017,
2005-01,0.018,
2005-04,0.022,
2005-07,0.027,
2005-10,0.025,
2006-01,0.025,
2006-04,0.024,
2006-07,0.029,
2006-10,0.032,
2007-01,0.031,
2007-04,0.030,
2007-07,0.032,
2007-10,0.035,
2008-01,0.017,
2008-04,0.024,
2008-07,0.015,
2008-10,0.017,
2009-01,0.017,
2009-04,0.017,
2009-07,0.022,
2009-10,0.023,
2010-01,0.022,
2010-04,0.022,
2010-07,0.007,
2010-10,0.003,
2011-01,0.003,
2011-04,0.004,
2011-07,0.004,
2011-10,0.001,
2012-01,0.001,
2012-04,0.001,
2012-07,0.002,
2012-10,0.002,
2013-01,0.001,
2013-04,0.001,
2013-07,0.010,
2013-10,0.010,
2014-01,0.010,
2014-04,0.010,
2014-07,0.010,
