"",BBSF2.M.1.S.I0015.GEM01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.GEM01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Sales receipts / Private non-profit institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:58,
2009-09,751,
2009-10,678,
2009-11,60,
2009-12,797,
2010-01,160,
2010-02,95,
2010-03,238,
2010-04,765,
2010-05,113,
2010-06,33,
2010-07,214,
2010-08,154,
2010-09,132,
2010-10,57,
2010-11,46,
2010-12,279,
2011-01,238,
2011-02,206,
2011-03,267,
2011-04,125,
2011-05,67,
2011-06,90,
2011-07,25,
2011-08,17,
2011-09,387,
2011-10,23,
2011-11,27,
2011-12,264,
2012-01,181,
2012-02,120,
2012-03,145,
2012-04,33,
2012-05,89,
2012-06,155,
2012-07,144,
2012-08,74,
2012-09,221,
2012-10,214,
2012-11,62,
2012-12,336,
2013-01,1605,
2013-02,172,
2013-03,270,
2013-04,104,
2013-05,550,
2013-06,1000,
2013-07,831,
2013-08,236,
2013-09,90,
2013-10,199,
2013-11,445,
2013-12,627,
2014-01,207,
2014-02,102,
2014-03,498,
2014-04,61,
2014-05,40,
2014-06,279,
2014-07,191,
2014-08,21,
2014-09,336,
2014-10,233,
2014-11,80,
