"",BBK01.OECO02T,BBK01.OECO02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:45,
2002-01,0.127,
2002-04,0.096,
2002-07,0.083,
2002-10,0.110,
2003-01,0.114,
2003-04,0.092,
2003-07,0.110,
2003-10,0.090,
2004-01,0.104,
2004-04,0.093,
2004-07,0.119,
2004-10,0.112,
2005-01,0.202,
2005-04,0.178,
2005-07,0.151,
2005-10,0.154,
2006-01,0.192,
2006-04,0.156,
2006-07,0.153,
2006-10,0.175,
2007-01,0.254,
2007-04,0.171,
2007-07,0.145,
2007-10,0.181,
2008-01,0.191,
2008-04,0.194,
2008-07,0.126,
2008-10,0.163,
2009-01,0.238,
2009-04,0.179,
2009-07,0.252,
2009-10,0.205,
2010-01,0.201,
2010-04,0.142,
2010-07,0.108,
2010-10,0.111,
2011-01,0.142,
2011-04,0.130,
2011-07,0.135,
2011-10,0.117,
2012-01,0.263,
2012-04,0.111,
2012-07,0.121,
2012-10,0.146,
2013-01,0.170,
2013-04,0.114,
2013-07,0.096,
2013-10,0.079,
2014-01,0.082,
2014-04,0.069,
2014-07,0.145,
