"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F3.T._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F3.T._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Debt securities / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:49,
1991-01,2195.053,
1991-02,5628.511,
1991-03,-4430.034,
1991-04,290.139,
1991-05,3464.564,
1991-06,1247.562,
1991-07,3062.760,
1991-08,4442.133,
1991-09,3145.779,
1991-10,6745.712,
1991-11,4929.348,
1991-12,3005.918,
1992-01,6225.828,
1992-02,-265.139,
1992-03,-1798.296,
1992-04,121.142,
1992-05,1951.993,
1992-06,-30.491,
1992-07,4992.201,
1992-08,5007.111,
1992-09,16004.774,
1992-10,11553.507,
1992-11,4278.561,
1992-12,13859.110,
1993-01,15424.203,
1993-02,10619.214,
1993-03,14415.936,
1993-04,9671.036,
1993-05,7992.119,
1993-06,12471.146,
1993-07,10909.466,
1993-08,-762.937,
1993-09,7939.505,
1993-10,10540.530,
1993-11,6846.252,
1993-12,10377.721,
1994-01,13733.173,
1994-02,-4908.530,
1994-03,-11455.801,
1994-04,-2541.910,
1994-05,-2565.353,
1994-06,-4617.195,
1994-07,2137.573,
1994-08,1669.246,
1994-09,842.874,
1994-10,5233.052,
1994-11,9316.043,
1994-12,-2454.805,
1995-01,2583.874,
1995-02,-1567.610,
1995-03,5194.194,
1995-04,3177.704,
1995-05,5796.663,
1995-06,3877.835,
1995-07,972.226,
1995-08,7201.269,
1995-09,205.223,
1995-10,573.932,
1995-11,9622.822,
1995-12,2186.994,
1996-01,12389.790,
1996-02,4685.455,
1996-03,-1283.313,
1996-04,560.201,
1996-05,4519.979,
1996-06,2439.538,
1996-07,9321.471,
1996-08,10006.879,
1996-09,1066.426,
1996-10,2221.459,
1996-11,11431.315,
1996-12,4815.129,
1997-01,17531.791,
1997-02,4842.703,
1997-03,1509.677,
1997-04,3376.616,
1997-05,876.430,
1997-06,7648.663,
1997-07,6780.142,
1997-08,1948.844,
1997-09,8070.608,
1997-10,-755.886,
1997-11,10095.328,
1997-12,7038.424,
1998-01,12964.535,
1998-02,9723.758,
1998-03,-2.555,
1998-04,5066.297,
1998-05,3245.411,
1998-06,3451.421,
1998-07,18737.066,
1998-08,16163.958,
1998-09,6272.563,
1998-10,-5474.217,
1998-11,11337.673,
1998-12,3700.488,
1999-01,14855.201,
1999-02,7962.066,
1999-03,14154.603,
1999-04,21264.158,
1999-05,-579.800,
1999-06,8300.180,
1999-07,12407.660,
1999-08,19609.189,
1999-09,13033.133,
1999-10,1852.212,
1999-11,20862.463,
1999-12,5988.508,
2000-01,-11482.396,
2000-02,5634.550,
2000-03,10632.309,
2000-04,11772.342,
2000-05,14706.938,
2000-06,13468.606,
2000-07,11561.023,
2000-08,-2137.887,
2000-09,9957.530,
2000-10,8924.996,
2000-11,-3904.298,
2000-12,5691.406,
2001-01,728.383,
2001-02,5104.623,
2001-03,466.673,
2001-04,-286.927,
2001-05,4563.190,
2001-06,9053.368,
2001-07,5317.800,
2001-08,9371.154,
2001-09,10488.639,
2001-10,18716.212,
2001-11,20623.026,
2001-12,-15200.566,
2002-01,8696.076,
2002-02,2125.788,
2002-03,12323.578,
2002-04,10802.369,
2002-05,9043.651,
2002-06,26775.961,
2002-07,20653.899,
2002-08,9322.367,
2002-09,12006.712,
2002-10,1033.737,
2002-11,11894.491,
2002-12,-9758.348,
2003-01,12459.055,
2003-02,14491.609,
2003-03,14204.969,
2003-04,10201.467,
2003-05,13857.519,
2003-06,8265.282,
2003-07,-1240.061,
2003-08,-7103.620,
2003-09,3332.011,
2003-10,21073.765,
2003-11,-4173.377,
2003-12,-6246.200,
2004-01,29497.626,
2004-02,3135.187,
2004-03,16016.090,
2004-04,21244.421,
2004-05,8590.131,
2004-06,-10103.402,
2004-07,20955.066,
2004-08,18421.070,
2004-09,3897.332,
2004-10,16906.287,
2004-11,7155.542,
2004-12,-9943.847,
2005-01,30210.977,
2005-02,16703.063,
2005-03,5710.891,
2005-04,29300.843,
2005-05,1187.565,
2005-06,32329.782,
2005-07,15939.002,
2005-08,-3704.178,
2005-09,14243.309,
2005-10,10551.699,
2005-11,8354.352,
2005-12,-2887.277,
2006-01,25689.673,
2006-02,1482.863,
2006-03,24411.005,
2006-04,2009.350,
2006-05,3120.671,
2006-06,660.274,
2006-07,16223.692,
2006-08,-170.076,
2006-09,979.282,
2006-10,17640.643,
2006-11,17344.432,
2006-12,7190.865,
2007-01,25588.188,
2007-02,6028.587,
2007-03,14706.966,
2007-04,27002.300,
2007-05,26454.432,
2007-06,17274.939,
2007-07,18749.112,
2007-08,12735.890,
2007-09,15102.421,
2007-10,41731.542,
2007-11,38793.905,
2007-12,391.254,
2008-01,28568.159,
2008-02,-9917.857,
2008-03,16061.532,
2008-04,-5244.977,
2008-05,20003.176,
2008-06,30149.652,
2008-07,13119.999,
2008-08,11705.845,
2008-09,163.091,
2008-10,-20945.491,
2008-11,680.246,
2008-12,-26088.922,
2009-01,1847.545,
2009-02,-3378.613,
2009-03,-12368.682,
2009-04,-2719.461,
2009-05,37309.258,
2009-06,-3162.980,
2009-07,-22917.744,
2009-08,16928.614,
2009-09,-11579.940,
2009-10,-9748.615,
2009-11,6997.517,
2009-12,-17152.294,
2010-01,362.492,
2010-02,10954.454,
2010-03,2897.783,
2010-04,24851.147,
2010-05,8690.740,
2010-06,-31548.120,
2010-07,-3553.123,
2010-08,17185.401,
2010-09,17789.242,
2010-10,14131.190,
2010-11,39304.877,
2010-12,-47127.975,
2011-01,15010.578,
2011-02,29054.373,
2011-03,-4477.923,
2011-04,9691.330,
2011-05,36044.189,
2011-06,-14504.384,
2011-07,-7739.406,
2011-08,36628.733,
2011-09,-10463.321,
2011-10,-19384.431,
2011-11,10911.894,
2011-12,-26961.120,
2012-01,-16511.030,
2012-02,37436.606,
2012-03,-3146.932,
2012-04,-981.715,
2012-05,27233.637,
2012-06,-7140.147,
2012-07,1586.185,
2012-08,5816.058,
2012-09,-6126.844,
2012-10,4401.173,
2012-11,25805.965,
2012-12,-20591.493,
2013-01,-197.658,
2013-02,21322.506,
2013-03,-10851.849,
2013-04,-4989.972,
2013-05,15437.605,
2013-06,-25387.092,
2013-07,-16120.124,
2013-08,3881.440,
2013-09,1319.982,
2013-10,1433.171,
2013-11,12827.858,
2013-12,-34117.612,
2014-01,11101.689,
2014-02,13977.794,Provisional value
2014-03,-10340.222,Provisional value
2014-04,-14664.617,Provisional value
2014-05,26803.702,Provisional value
2014-06,-1815.576,Provisional value
2014-07,-6188.245,Provisional value
2014-08,15680.176,Provisional value
2014-09,-7819.296,
2014-10,-827.375,
2014-11,9777.578,
2014-12,-18850.435,Provisional value
