"",BBDE1.M.DE.Y.GUB5.A2P340000.F.V.I10.A,BBDE1.M.DE.Y.GUB5.A2P340000.F.V.I10.A_FLAGS
"",Turnover industry from abroad / At current prices / Germany / Non-durable goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:11:55,
1991-01,42.4,
1991-02,41.9,
1991-03,42.9,
1991-04,45.6,
1991-05,42.5,
1991-06,44.1,
1991-07,43.7,
1991-08,43.4,
1991-09,44.0,
1991-10,44.9,
1991-11,47.2,
1991-12,45.9,
1992-01,45.2,
1992-02,46.1,
1992-03,45.6,
1992-04,45.2,
1992-05,45.9,
1992-06,46.3,
1992-07,44.6,
1992-08,44.5,
1992-09,43.9,
1992-10,43.3,
1992-11,43.1,
1992-12,43.9,
1993-01,44.0,
1993-02,44.4,
1993-03,43.7,
1993-04,44.1,
1993-05,42.9,
1993-06,44.1,
1993-07,43.5,
1993-08,44.3,
1993-09,44.6,
1993-10,43.7,
1993-11,44.7,
1993-12,45.5,
1994-01,46.2,
1994-02,45.4,
1994-03,45.7,
1994-04,47.2,
1994-05,46.3,
1994-06,45.9,
1994-07,47.0,
1994-08,46.3,
1994-09,47.8,
1994-10,49.7,
1994-11,49.3,
1994-12,48.5,
1995-01,49.0,
1995-02,48.6,
1995-03,48.3,
1995-04,49.7,
1995-05,49.5,
1995-06,50.0,
1995-07,48.2,
1995-08,48.8,
1995-09,49.2,
1995-10,50.3,
1995-11,49.8,
1995-12,50.4,
1996-01,49.5,
1996-02,50.0,
1996-03,50.7,
1996-04,54.8,
1996-05,54.3,
1996-06,53.4,
1996-07,53.0,
1996-08,50.6,
1996-09,50.7,
1996-10,51.5,
1996-11,52.4,
1996-12,52.1,
1997-01,50.8,
1997-02,53.5,
1997-03,54.5,
1997-04,55.4,
1997-05,53.4,
1997-06,54.8,
1997-07,56.1,
1997-08,56.0,
1997-09,57.0,
1997-10,57.7,
1997-11,57.9,
1997-12,59.0,
1998-01,59.1,
1998-02,58.7,
1998-03,58.9,
1998-04,58.7,
1998-05,58.7,
1998-06,60.0,
1998-07,58.7,
1998-08,58.9,
1998-09,56.8,
1998-10,56.1,
1998-11,55.5,
1998-12,57.7,
1999-01,57.1,
1999-02,56.1,
1999-03,57.7,
1999-04,57.7,
1999-05,59.8,
1999-06,59.7,
1999-07,59.2,
1999-08,60.5,
1999-09,61.3,
1999-10,59.3,
1999-11,61.0,
1999-12,61.6,
2000-01,58.9,
2000-02,62.8,
2000-03,61.2,
2000-04,61.1,
2000-05,64.3,
2000-06,62.7,
2000-07,63.7,
2000-08,63.9,
2000-09,66.0,
2000-10,66.9,
2000-11,66.6,
2000-12,64.3,
2001-01,65.8,
2001-02,67.2,
2001-03,65.6,
2001-04,67.0,
2001-05,67.3,
2001-06,69.5,
2001-07,69.0,
2001-08,69.6,
2001-09,67.2,
2001-10,70.1,
2001-11,67.9,
2001-12,67.0,
2002-01,69.2,
2002-02,70.0,
2002-03,70.1,
2002-04,70.8,
2002-05,70.1,
2002-06,70.5,
2002-07,71.0,
2002-08,70.3,
2002-09,69.5,
2002-10,69.8,
2002-11,73.2,
2002-12,69.3,
2003-01,74.0,
2003-02,72.5,
2003-03,73.4,
2003-04,74.6,
2003-05,70.7,
2003-06,71.9,
2003-07,72.5,
2003-08,73.0,
2003-09,74.4,
2003-10,75.3,
2003-11,72.7,
2003-12,78.3,
2004-01,76.1,
2004-02,76.8,
2004-03,77.5,
2004-04,78.0,
2004-05,76.5,
2004-06,77.8,
2004-07,78.7,
2004-08,76.9,
2004-09,77.7,
2004-10,78.0,
2004-11,79.4,
2004-12,81.0,
2005-01,81.9,
2005-02,82.7,
2005-03,82.0,
2005-04,80.1,
2005-05,83.3,
2005-06,83.6,
2005-07,85.5,
2005-08,85.9,
2005-09,85.7,
2005-10,85.0,
2005-11,86.5,
2005-12,85.9,
2006-01,88.1,
2006-02,88.9,
2006-03,87.8,
2006-04,89.1,
2006-05,89.2,
2006-06,90.7,
2006-07,90.8,
2006-08,93.2,
2006-09,93.9,
2006-10,92.8,
2006-11,94.8,
2006-12,91.7,
2007-01,96.7,
2007-02,98.4,
2007-03,97.6,
2007-04,95.4,
2007-05,100.1,
2007-06,97.9,
2007-07,97.7,
2007-08,101.5,
2007-09,101.6,
2007-10,102.6,
2007-11,102.0,
2007-12,101.3,
2008-01,102.5,
2008-02,104.3,
2008-03,102.8,
2008-04,102.1,
2008-05,101.4,
2008-06,101.8,
2008-07,103.5,
2008-08,103.0,
2008-09,103.7,
2008-10,105.1,
2008-11,98.9,
2008-12,106.4,
2009-01,95.6,
2009-02,95.7,
2009-03,93.5,
2009-04,96.7,
2009-05,94.9,
2009-06,95.7,
2009-07,93.5,
2009-08,94.2,
2009-09,93.8,
2009-10,94.9,
2009-11,98.2,
2009-12,97.7,
2010-01,96.4,
2010-02,94.7,
2010-03,99.0,
2010-04,97.2,
2010-05,99.5,
2010-06,100.3,
2010-07,99.9,
2010-08,102.7,
2010-09,102.1,
2010-10,100.8,
2010-11,100.8,
2010-12,100.7,
2011-01,103.9,
2011-02,105.7,
2011-03,106.7,
2011-04,109.3,
2011-05,107.4,
2011-06,108.2,
2011-07,108.6,
2011-08,106.8,
2011-09,106.7,
2011-10,108.0,
2011-11,108.9,
2011-12,109.9,
2012-01,108.3,
2012-02,109.7,
2012-03,113.6,
2012-04,109.1,
2012-05,113.3,
2012-06,114.8,
2012-07,114.7,
2012-08,113.5,
2012-09,114.8,
2012-10,116.8,
2012-11,117.1,
2012-12,120.9,
2013-01,114.0,
2013-02,115.2,
2013-03,112.4,
2013-04,116.5,
2013-05,120.3,
2013-06,112.9,
2013-07,116.0,
2013-08,115.9,
2013-09,118.4,
2013-10,119.2,
2013-11,122.7,
2013-12,123.2,
2014-01,119.7,
2014-02,118.6,
