"",BBK01.OEAE21H,BBK01.OEAE21H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:11,
2002-01,2.362,
2002-04,2.101,
2002-07,2.067,
2002-10,2.135,
2003-01,1.485,
2003-04,1.119,
2003-07,1.111,
2003-10,0.856,
2004-01,0.705,
2004-04,0.959,
2004-07,1.082,
2004-10,1.267,
2005-01,1.338,
2005-04,1.235,
2005-07,1.199,
2005-10,1.175,
2006-01,1.241,
2006-04,0.552,
2006-07,0.698,
2006-10,0.544,
2007-01,0.520,
2007-04,1.041,
2007-07,0.560,
2007-10,0.966,
2008-01,1.005,
2008-04,0.856,
2008-07,0.886,
2008-10,0.890,
2009-01,1.027,
2009-04,1.797,
2009-07,2.226,
2009-10,2.792,
2010-01,1.198,
2010-04,0.985,
2010-07,0.741,
2010-10,0.766,
2011-01,0.830,
2011-04,0.753,
2011-07,0.726,
2011-10,0.672,
2012-01,0.567,
2012-04,0.611,
2012-07,0.683,
2012-10,0.663,
2013-01,0.697,
2013-04,0.692,
2013-07,0.755,
2013-10,0.752,
2014-01,0.745,
2014-04,0.728,
2014-07,0.656,
