"",BBDE1.M.DE.Y.AEA1.A2R240050.F.V.I10.A,BBDE1.M.DE.Y.AEA1.A2R240050.F.V.I10.A_FLAGS
"","Orders received / At current prices, flows / Germany / 24+25 Manufacture of basic metals and fabricated metal products, except machinery and equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:28,
1991-01,61.3,
1991-02,61.7,
1991-03,61.1,
1991-04,59.4,
1991-05,58.8,
1991-06,58.7,
1991-07,57.7,
1991-08,58.9,
1991-09,58.5,
1991-10,58.9,
1991-11,59.9,
1991-12,60.3,
1992-01,62.0,
1992-02,61.9,
1992-03,60.2,
1992-04,60.2,
1992-05,59.1,
1992-06,57.9,
1992-07,56.2,
1992-08,56.8,
1992-09,55.5,
1992-10,52.7,
1992-11,52.3,
1992-12,52.1,
1993-01,53.4,
1993-02,52.3,
1993-03,51.0,
1993-04,52.0,
1993-05,51.9,
1993-06,52.1,
1993-07,51.9,
1993-08,50.5,
1993-09,52.8,
1993-10,53.0,
1993-11,53.7,
1993-12,54.3,
1994-01,53.5,
1994-02,55.1,
1994-03,56.9,
1994-04,58.5,
1994-05,59.1,
1994-06,59.4,
1994-07,58.7,
1994-08,59.9,
1994-09,62.1,
1994-10,62.2,
1994-11,63.3,
1994-12,65.0,
1995-01,59.9,
1995-02,62.6,
1995-03,62.1,
1995-04,60.5,
1995-05,59.2,
1995-06,59.2,
1995-07,58.2,
1995-08,57.7,
1995-09,58.4,
1995-10,57.3,
1995-11,55.8,
1995-12,56.1,
1996-01,57.2,
1996-02,55.3,
1996-03,55.5,
1996-04,55.7,
1996-05,56.5,
1996-06,57.4,
1996-07,57.5,
1996-08,57.7,
1996-09,57.5,
1996-10,58.3,
1996-11,58.0,
1996-12,58.9,
1997-01,57.8,
1997-02,60.5,
1997-03,60.3,
1997-04,60.2,
1997-05,60.7,
1997-06,62.6,
1997-07,63.8,
1997-08,63.7,
1997-09,63.9,
1997-10,65.7,
1997-11,65.9,
1997-12,65.4,
1998-01,65.5,
1998-02,64.9,
1998-03,65.7,
1998-04,66.6,
1998-05,63.9,
1998-06,66.5,
1998-07,61.4,
1998-08,62.5,
1998-09,60.7,
1998-10,60.0,
1998-11,59.7,
1998-12,59.0,
1999-01,60.2,
1999-02,58.1,
1999-03,59.3,
1999-04,59.5,
1999-05,60.3,
1999-06,61.4,
1999-07,62.5,
1999-08,63.9,
1999-09,65.8,
1999-10,65.0,
1999-11,66.7,
1999-12,68.3,
2000-01,65.8,
2000-02,68.7,
2000-03,68.2,
2000-04,68.8,
2000-05,72.1,
2000-06,68.7,
2000-07,71.3,
2000-08,71.6,
2000-09,71.3,
2000-10,72.7,
2000-11,71.1,
2000-12,72.6,
2001-01,71.9,
2001-02,71.3,
2001-03,69.4,
2001-04,68.5,
2001-05,69.2,
2001-06,68.0,
2001-07,68.7,
2001-08,68.3,
2001-09,68.0,
2001-10,66.5,
2001-11,64.5,
2001-12,68.4,
2002-01,68.1,
2002-02,68.5,
2002-03,65.7,
2002-04,69.2,
2002-05,70.5,
2002-06,69.7,
2002-07,70.7,
2002-08,68.4,
2002-09,71.0,
2002-10,70.6,
2002-11,70.1,
2002-12,69.2,
2003-01,69.1,
2003-02,69.2,
2003-03,68.8,
2003-04,68.1,
2003-05,66.8,
2003-06,68.5,
2003-07,68.7,
2003-08,68.4,
2003-09,69.6,
2003-10,71.9,
2003-11,73.8,
2003-12,75.9,
2004-01,75.4,
2004-02,75.7,
2004-03,78.5,
2004-04,79.2,
2004-05,79.1,
2004-06,77.3,
2004-07,79.2,
2004-08,80.0,
2004-09,80.2,
2004-10,80.2,
2004-11,79.4,
2004-12,82.0,
2005-01,80.6,
2005-02,79.2,
2005-03,79.6,
2005-04,79.0,
2005-05,79.0,
2005-06,81.2,
2005-07,87.0,
2005-08,83.5,
2005-09,87.4,
2005-10,89.4,
2005-11,89.5,
2005-12,91.8,
2006-01,91.7,
2006-02,93.1,
2006-03,93.3,
2006-04,97.3,
2006-05,100.7,
2006-06,101.4,
2006-07,103.0,
2006-08,106.5,
2006-09,105.0,
2006-10,106.6,
2006-11,108.2,
2006-12,109.4,
2007-01,108.0,
2007-02,109.1,
2007-03,110.3,
2007-04,109.3,
2007-05,114.2,
2007-06,113.4,
2007-07,109.8,
2007-08,111.8,
2007-09,111.2,
2007-10,115.2,
2007-11,121.5,
2007-12,120.2,
2008-01,114.4,
2008-02,116.6,
2008-03,115.1,
2008-04,117.7,
2008-05,120.2,
2008-06,117.4,
2008-07,115.6,
2008-08,115.3,
2008-09,107.3,
