"",BBK01.DQ7503,BBK01.DQ7503_FLAGS
"","Pay rates, overall economy, on an hourly basis, Germany",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-11 13:06:06,
1991-01,51.5,
1991-04,54.3,
1991-07,61.1,
1991-10,68.2,
1992-01,57.4,
1992-04,60.7,
1992-07,68.2,
1992-10,75.9,
1993-01,62.8,
1993-04,64.5,
1993-07,72.9,
1993-10,81.3,
1994-01,65.8,
1994-04,66.3,
1994-07,74.5,
1994-10,83.2,
1995-01,68.6,
1995-04,70.1,
1995-07,78.3,
1995-10,87.6,
1996-01,71.3,
1996-04,71.8,
1996-07,80.3,
1996-10,89.0,
1997-01,72.6,
1997-04,72.8,
1997-07,81.4,
1997-10,90.0,
1998-01,73.8,
1998-04,74.4,
1998-07,83.0,
1998-10,91.7,
1999-01,75.9,
1999-04,76.7,
1999-07,85.5,
1999-10,94.0,
2000-01,77.3,
2000-04,78.5,
2000-07,87.3,
2000-10,96.0,
2001-01,79.2,
2001-04,79.9,
2001-07,89.0,
2001-10,97.9,
2002-01,81.0,
2002-04,82.0,
2002-07,91.3,
2002-10,100.6,
2003-01,83.3,
2003-04,83.8,
2003-07,93.0,
2003-10,101.4,
2004-01,84.3,
2004-04,84.8,
2004-07,93.6,
2004-10,101.8,
2005-01,85.3,
2005-04,85.6,
2005-07,94.3,
2005-10,102.4,
2006-01,86.0,
2006-04,86.8,
2006-07,94.5,
2006-10,103.7,
2007-01,86.5,
2007-04,88.3,
2007-07,96.0,
2007-10,104.9,
2008-01,88.7,
2008-04,90.0,
2008-07,98.8,
2008-10,108.4,
2009-01,91.1,
2009-04,92.2,
2009-07,100.6,
2009-10,109.8,
2010-01,92.8,
2010-04,94.2,
2010-07,101.6,
2010-10,111.4,
2011-01,94.4,
2011-04,95.5,
2011-07,103.7,
2011-10,113.5,
2012-01,96.4,
2012-04,98.1,
2012-07,106.6,
2012-10,116.9,
2013-01,99.1,
2013-04,100.2,
2013-07,109.0,
2013-10,119.7,
2014-01,102.3,
2014-04,103.5,
2014-07,112.1,
2014-10,123.1,
