"",BBK01.OEXB13U,BBK01.OEXB13U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:26,
2002-01,0.608,
2002-04,0.612,
2002-07,0.614,
2002-10,0.675,
2003-01,0.672,
2003-04,0.677,
2003-07,0.680,
2003-10,0.681,
2004-01,0.681,
2004-04,0.680,
2004-07,0.681,
2004-10,0.686,
2005-01,0.682,
2005-04,0.690,
2005-07,0.692,
2005-10,0.679,
2006-01,0.689,
2006-04,0.706,
2006-07,0.707,
2006-10,0.714,
2007-01,0.703,
2007-04,0.680,
2007-07,0.670,
2007-10,0.698,
2008-01,0.664,
2008-04,0.663,
2008-07,0.655,
2008-10,0.672,
2009-01,0.662,
2009-04,0.672,
2009-07,0.663,
2009-10,0.667,
2010-01,0.667,
2010-04,0.672,
2010-07,0.684,
2010-10,0.699,
2011-01,0.697,
2011-04,0.705,
2011-07,0.700,
2011-10,0.702,
2012-01,0.714,
2012-04,0.720,
2012-07,0.721,
2012-10,0.711,
2013-01,0.717,
2013-04,0.715,
2013-07,0.716,
2013-10,0.729,
2014-01,0.723,
2014-04,0.699,
2014-07,0.696,
