"",BBEX3.M.KHR.EUR.CA.AC.A01,BBEX3.M.KHR.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Cambodia / EUR 1 = KHR ... (middle),
unit,KHR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:28,
1999-01,4328.500,
1999-02,4189.500,
1999-03,4090.000,
1999-04,4049.000,
1999-05,3989.000,
1999-06,3943.500,
1999-07,4111.500,
1999-08,4080.500,
1999-09,4162.500,
1999-10,4042.000,
1999-11,3850.500,
1999-12,3807.000,
2000-01,3728.500,
2000-02,3709.500,
2000-03,3675.000,
2000-04,3499.000,
2000-05,3602.000,
2000-06,3687.500,
2000-07,3592.000,
2000-08,3497.000,
2000-09,3442.000,
2000-10,3238.000,
2000-11,3341.500,
2000-12,3645.000,
2001-01,3637.000,
2001-02,3603.000,
2001-03,3465.500,
2001-04,3465.500,
2001-05,3368.500,
2001-06,3323.500,
2001-07,3447.000,
2001-08,3618.000,
2001-09,3620.000,
2001-10,3577.000,
2001-11,3497.000,
2001-12,3453.500,
2002-01,3371.000,
2002-02,3396.000,
2002-03,3409.000,
2002-04,3532.500,
2002-05,3675.500,
2002-06,3907.000,
2002-07,3865.500,
2002-08,3875.000,
2002-09,3891.500,
2002-10,3888.500,
2002-11,3922.000,
2002-12,4137.500,
2003-01,4277.000,
2003-02,4251.000,
2003-03,4277.000,
2003-04,4417.000,
2003-05,4779.500,
2003-06,4573.500,
2003-07,4542.500,
2003-08,4400.000,
2003-09,4672.500,
2003-10,4691.000,
2003-11,4771.500,
2003-12,5020.000,
2004-01,4969.500,
2004-02,4992.000,
2004-03,4882.000,
2004-04,4803.500,
2004-05,4941.500,
2004-06,4879.000,
2004-07,4866.500,
2004-08,4908.500,
2004-09,5017.000,
2004-10,5167.000,
2004-11,5352.500,
2004-12,5510.500,
2005-01,5273.000,
2005-02,5185.000,
2005-03,5231.000,
2005-04,5242.000,
2005-05,5095.000,
2005-06,4983.500,
2005-07,5116.500,
2005-08,5052.000,
2005-09,5043.000,
2005-10,5108.500,
2005-11,4924.500,
2005-12,4895.000,
2006-01,4952.500,
2006-02,4858.000,
2006-03,5005.000,
2006-04,5153.500,
2006-05,5299.000,
2006-06,5230.000,
2006-07,5274.500,
2006-08,5344.500,
2006-09,5304.500,
2006-10,5300.500,
2006-11,5416.000,
2006-12,5356.500,
2007-01,5293.000,
2007-02,5388.000,
2007-03,5431.000,
2007-04,5563.000,
2007-05,5502.500,
2007-06,5514.000,
2007-07,5620.000,
2007-08,5603.000,
2007-09,5796.000,
2007-10,5862.000,
2007-11,5940.500,
2007-12,5922.500,
2008-01,5963.000,
2008-02,6092.000,
2008-03,6361.000,
2008-04,6254.500,
2008-05,6272.000,
2008-06,6494.500,
2008-07,6430.000,
2008-08,6070.000,
2008-09,6063.000,
2008-10,5392.000,
2008-11,5263.500,
2008-12,5791.000,
2009-01,5333.500,
2009-02,5258.500,
2009-03,5417.500,
2009-04,5489.000,
2009-05,5803.000,
2009-06,5900.500,
2009-07,5928.500,
2009-08,5951.500,
2009-09,6121.500,
2009-10,6217.000,
2009-11,6268.500,
2009-12,6008.000,
2010-01,5821.000,
2010-02,5667.000,
2010-03,5619.000,
2010-04,5574.500,
2010-05,5184.000,
2010-06,5147.000,
2010-07,5538.500,
2010-08,5355.500,
2010-09,5766.500,
2010-10,5826.000,
2010-11,5346.500,
2010-12,5390.000,
2011-01,5507.000,
2011-02,5541.500,
2011-03,5661.500,
2011-04,5974.000,
2011-05,5853.000,
2011-06,5961.000,
2011-07,5882.000,
2011-08,5915.000,
2011-09,5551.500,
2011-10,5815.500,
2011-11,5376.500,
2011-12,5230.500,
2012-01,5338.000,
2012-02,5410.000,
2012-03,5320.500,
2012-04,5326.000,
2012-05,5026.000,
2012-06,5056.500,
2012-07,4990.000,
2012-08,5061.500,
2012-09,5220.500,
2012-10,5202.000,
2012-11,5178.000,
2012-12,5285.500,
2013-01,5447.500,
2013-02,5281.500,
2013-03,5144.500,
2013-04,5289.500,
2013-05,5326.500,
2013-06,5323.500,
2013-07,5415.000,
2013-08,5403.000,
2013-09,5508.500,
2013-10,5573.500,
2013-11,5461.000,
2013-12,5542.500,
2014-01,5442.000,
2014-02,5482.000,
2014-03,5549.000,
2014-04,5574.000,
2014-05,5511.000,
2014-06,5539.500,
2014-07,5452.500,
2014-08,5386.500,
2014-09,5209.000,
2014-10,5163.500,
2014-11,5085.500,
2014-12,4980.000,
2015-01,4621.000,
2015-02,4536.500,
"","Source: Calculated on the basis of the buying and selling rates: Since March 2002: National Bank of Cambodia, Phnom Penh 1999 - February 2002: Standard Chartered Bank, Phnom Penh",
