"",BBFB1.Q.Y.DE.W1.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Services / Credit (Resources) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 14:49:09,
1991-01,12.51,
1991-04,13.16,
1991-07,13.53,
1991-10,13.24,
1992-01,13.07,
1992-04,13.27,
1992-07,12.97,
1992-10,13.45,
1993-01,13.06,
1993-04,13.06,
1993-07,13.51,
1993-10,13.19,
1994-01,13.72,
1994-04,13.06,
1994-07,13.49,
1994-10,13.03,
1995-01,14.39,
1995-04,13.64,
1995-07,14.35,
1995-10,14.80,
1996-01,14.40,
1996-04,14.70,
1996-07,14.96,
1996-10,15.72,
1997-01,16.72,
1997-04,17.31,
1997-07,18.22,
1997-10,18.21,
1998-01,19.13,
1998-04,18.62,
1998-07,19.33,
1998-10,18.07,
1999-01,18.28,
1999-04,19.32,
1999-07,20.28,
1999-10,20.25,
2000-01,21.70,
2000-04,22.30,
2000-07,22.49,
2000-10,23.61,
2001-01,22.78,
2001-04,23.48,
2001-07,23.61,
2001-10,25.84,
2002-01,26.09,
2002-04,26.38,
2002-07,27.41,
2002-10,28.10,
2003-01,25.35,
2003-04,25.78,
2003-07,25.66,
2003-10,26.98,
2004-01,28.43,
2004-04,29.65,
2004-07,29.92,
2004-10,30.22,
2005-01,31.33,
2005-04,30.91,
2005-07,32.47,
2005-10,33.10,
2006-01,34.11,
2006-04,36.17,
2006-07,36.27,
2006-10,37.40,
2007-01,36.49,
2007-04,38.09,
2007-07,38.97,
2007-10,38.69,
2008-01,40.64,
2008-04,40.45,
2008-07,41.19,
2008-10,41.73,
2009-01,40.04,
2009-04,39.55,
2009-07,39.03,
2009-10,39.06,
2010-01,40.65,
2010-04,42.45,
2010-07,43.21,
2010-10,43.00,
2011-01,43.87,
2011-04,43.17,
2011-07,44.47,
2011-10,46.21,
2012-01,46.10,
2012-04,46.66,
2012-07,47.74,
2012-10,47.06,
2013-01,47.86,
2013-04,48.62,
2013-07,50.04,
2013-10,49.99,
2014-01,51.01,
2014-04,51.44,Provisional value
2014-07,51.65,Provisional value
2014-10,51.89,Provisional value
